RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Use,Points,"0.0000, 0.0000, 40.2787","0.0000, 10.0000, 40.4953","0.0000, 20.0000, 40.0873","0.0000, 30.0000, 40.0511"
0.1,,Use,Points,"0.0000, 40.0000, 40.4265","0.0000, 50.0000, 40.1899","0.0000, 60.0000, 40.7354","0.0000, 70.0000, 40.3694"
0.2,,Use,Points,"0.0000, 80.0000, 40.8358","0.0000, 90.0000, 40.1779","0.0000, 100.0000, 40.0507","0.0000, 110.0000, 40.7395"
0.3,,Use,Points,"0.0000, 120.0000, 40.9097","0.0000, 130.0000, 40.4474","0.0000, 140.0000, 40.3497","0.0000, 150.0000, 40.4275"
0.4,,Use,Points,"0.0000, 160.0000, 40.3302","0.0000, 170.0000, 40.8804","0.0000, 180.0000, 40.6303","0.0000, 190.0000, 40.8209"
0.5,,Use,Points,"10.0000, 0.0000, 42.4399","10.0000, 10.0000, 42.5547","10.0000, 20.0000, 41.8409","10.0000, 30.0000, 42.2841"
0.6,,Use,Points,"10.0000, 40.0000, 42.0435","10.0000, 50.0000, 41.4626","10.0000, 60.0000, 41.9229","10.0000, 70.0000, 41.9125"
0.7,,Use,Points,"10.0000, 80.0000, 41.5323","10.0000, 90.0000, 41.3191","10.0000, 100.0000, 41.1238","10.0000, 110.0000, 41.5417"
0.8,,Use,Points,"10.0000, 120.0000, 41.3240","10.0000, 130.0000, 41.2503","10.0000, 140.0000, 40.6246","10.0000, 150.0000, 40.3384"
0.9,,Use,Points,"10.0000, 160.0000, 40.3368","10.0000, 170.0000, 40.7198","10.0000, 180.0000, 40.2521","10.0000, 190.0000, 39.9242"
0.1,,Use,Points,"20.0000, 0.0000, 44.0159","20.0000, 10.0000, 43.9173","20.0000, 20.0000, 43.8780","20.0000, 30.0000, 44.0717"
0.11,,Use,Points,"20.0000, 40.0000, 43.2079","20.0000, 50.0000, 43.0700","20.0000, 60.0000, 43.2634","20.0000, 70.0000, 43.3530"
0.12,,Use,Points,"20.0000, 80.0000, 42.7128","20.0000, 90.0000, 42.3934","20.0000, 100.0000, 41.5048","20.0000, 110.0000, 41.3144"
0.13,,Use,Points,"20.0000, 120.0000, 41.1694","20.0000, 130.0000, 41.2901","20.0000, 140.0000, 40.6315","20.0000, 150.0000, 40.6178"
0.14,,Use,Points,"20.0000, 160.0000, 40.2850","20.0000, 170.0000, 40.1835","20.0000, 180.0000, 40.1546","20.0000, 190.0000, 39.8985"
0.15,,Use,Points,"30.0000, 0.0000, 45.9127","30.0000, 10.0000, 45.2348","30.0000, 20.0000, 45.9498","30.0000, 30.0000, 45.2694"
0.16,,Use,Points,"30.0000, 40.0000, 45.3928","30.0000, 50.0000, 44.3870","30.0000, 60.0000, 44.7952","30.0000, 70.0000, 44.5130"
0.17,,Use,Points,"30.0000, 80.0000, 43.1330","30.0000, 90.0000, 42.7717","30.0000, 100.0000, 42.3060","30.0000, 110.0000, 42.2961"
0.18,,Use,Points,"30.0000, 120.0000, 41.8107","30.0000, 130.0000, 41.4213","30.0000, 140.0000, 40.9472","30.0000, 150.0000, 40.4575"
0.19,,Use,Points,"30.0000, 160.0000, 40.2260","30.0000, 170.0000, 39.9618","30.0000, 180.0000, 39.9475","30.0000, 190.0000, 39.5641"
0.2,,Use,Points,"40.0000, 0.0000, 47.4791","40.0000, 10.0000, 47.5711","40.0000, 20.0000, 46.8408","40.0000, 30.0000, 47.3445"
0.21,,Use,Points,"40.0000, 40.0000, 46.5167","40.0000, 50.0000, 45.9497","40.0000, 60.0000, 45.9030","40.0000, 70.0000, 44.9191"
0.22,,Use,Points,"40.0000, 80.0000, 44.8355","40.0000, 90.0000, 44.5453","40.0000, 100.0000, 43.9176","40.0000, 110.0000, 43.3608"
0.23,,Use,Points,"40.0000, 120.0000, 42.1466","40.0000, 130.0000, 41.3518","40.0000, 140.0000, 41.3796","40.0000, 150.0000, 40.7623"
