RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,FamilyExtrusionHeight,50.0000,,,
1.0,,Draw,CurveArray,,,,
1.1,,Use,Points,"35.0000, 40.0000, 11.2500","45.0000, 40.0000, 11.2500","50.0000, 30.0000, 11.2500","55.0000, 40.0000, 11.2500"
1.2,,Use,Points,"65.0000, 40.0000, 11.2500",,,
1.3,,Draw,NurbSpline,,,,
1.4,,Draw,Line,"65.0000, 40.0000, 11.2500","65.0000, 45.0000, 11.2500",,
1.5,,Draw,Arc,"65.0000, 45.0000, 11.2500","65.0000, 55.0000, 11.2500","70.0000, 50.0000, 11.2500",
1.6,,Draw,Line,"65.0000, 55.0000, 11.2500","65.0000, 60.0000, 11.2500",,
1.7,,Use,Points,"65.0000, 60.0000, 11.2500","55.0000, 65.0000, 11.2500","50.0000, 60.0000, 11.2500","45.0000, 65.0000, 11.2500"
1.8,,Use,Points,"35.0000, 60.0000, 11.2500",,,
1.9,,Draw,HermiteSpline,,,,
1.10,,Draw,Line,"35.0000, 60.0000, 11.2500","35.0000, 55.0000, 11.2500",,
1.11,,Draw,Arc,"35.0000, 55.0000, 11.2500","35.0000, 45.0000, 11.2500","30.0000, 50.0000, 11.2500",
1.12,,Draw,Line,"35.0000, 45.0000, 11.2500","35.0000, 40.0000, 11.2500",,
1.13,,Draw,CurveArray,,,,
1.14,,Draw,Ellipse,"40.0000, 50.0000, 11.2500","60.0000, 50.0000, 11.2500",5.0000,Half
1.14,,Draw,Ellipse,"60.0000, 50.0000, 11.2500","40.0000, 50.0000, 11.2500",5.0000,Half
1.15,,Draw,CurveArray,,,,
1.16,,Draw,Arc,"35.0000, 47.5000, 11.2500","35.0000, 52.5000, 11.2500","32.5000, 50.0000, 11.2500",
1.17,,Draw,Arc,"35.0000, 52.5000, 11.2500","35.0000, 47.5000, 11.2500","37.5000, 50.0000, 11.2500",
1.18,,Draw,CurveArray,,,,
1.19,,Draw,Arc,"65.0000, 47.5000, 11.2500","65.0000, 52.5000, 11.2500","62.5000, 50.0000, 11.2500",
1.20,,Draw,Arc,"65.0000, 52.5000, 11.2500","65.0000, 47.5000, 11.2500","67.5000, 50.0000, 11.2500",
1.21,,Add,FamilyExtrusion,Bldg,"0.0000, 0.0000, 0.0000",,
2,,Set,FamilyExtrusionHeight,50.0000,,,
3.0,,Draw,CurveArray,,,,
3.1,,Use,Points,"85.0000, 40.0000, 15.0000","95.0000, 40.0000, 15.0000","100.0000, 30.0000, 15.0000","105.0000, 40.0000, 15.0000"
3.2,,Use,Points,"115.0000, 40.0000, 15.0000",,,
3.3,,Draw,NurbSpline,,,,
3.4,,Draw,Line,"115.0000, 40.0000, 15.0000","115.0000, 45.0000, 15.0000",,
3.5,,Draw,Arc,"115.0000, 45.0000, 15.0000","115.0000, 55.0000, 15.0000","120.0000, 50.0000, 15.0000",
3.6,,Draw,Line,"115.0000, 55.0000, 15.0000","115.0000, 60.0000, 15.0000",,
3.7,,Use,Points,"115.0000, 60.0000, 15.0000","105.0000, 65.0000, 15.0000","100.0000, 60.0000, 15.0000","95.0000, 65.0000, 15.0000"
3.8,,Use,Points,"85.0000, 60.0000, 15.0000",,,
3.9,,Draw,HermiteSpline,,,,
3.10,,Draw,Line,"85.0000, 60.0000, 15.0000","85.0000, 55.0000, 15.0000",,
3.11,,Draw,Arc,"85.0000, 55.0000, 15.0000","85.0000, 45.0000, 15.0000","80.0000, 50.0000, 15.0000",
3.12,,Draw,Line,"85.0000, 45.0000, 15.0000","85.0000, 40.0000, 15.0000",,
3.13,,Draw,CurveArray,,,,
3.14,,Draw,Ellipse,"90.0000, 50.0000, 15.0000","110.0000, 50.0000, 15.0000",5.0000,Half
3.14,,Draw,Ellipse,"110.0000, 50.0000, 15.0000","90.0000, 50.0000, 15.0000",5.0000,Half
3.15,,Draw,CurveArray,,,,
3.16,,Draw,Arc,"85.0000, 47.5000, 15.0000","85.0000, 52.5000, 15.0000","82.5000, 50.0000, 15.0000",
3.17,,Draw,Arc,"85.0000, 52.5000, 15.0000","85.0000, 47.5000, 15.0000","87.5000, 50.0000, 15.0000",
3.18,,Draw,CurveArray,,,,
3.19,,Draw,Arc,"115.0000, 47.5000, 15.0000","115.0000, 52.5000, 15.0000","112.5000, 50.0000, 15.0000",
3.20,,Draw,Arc,"115.0000, 52.5000, 15.0000","115.0000, 47.5000, 15.0000","117.5000, 50.0000, 15.0000",
3.21,,Add,FamilyExtrusion,Bldg,"0.0000, 0.0000, 0.0000",,
4,,Set,FamilyExtrusionHeight,50.0000,,,
5.0,,Draw,CurveArray,,,,
5.1,,Use,Points,"135.0000, 40.0000, 18.7500","145.0000, 40.0000, 18.7500","150.0000, 30.0000, 18.7500","155.0000, 40.0000, 18.7500"
5.2,,Use,Points,"165.0000, 40.0000, 18.7500",,,
5.3,,Draw,NurbSpline,,,,
5.4,,Draw,Line,"165.0000, 40.0000, 18.7500","165.0000, 45.0000, 18.7500",,
5.5,,Draw,Arc,"165.0000, 45.0000, 18.7500","165.0000, 55.0000, 18.7500","170.0000, 50.0000, 18.7500",
5.6,,Draw,Line,"165.0000, 55.0000, 18.7500","165.0000, 60.0000, 18.7500",,
5.7,,Use,Points,"165.0000, 60.0000, 18.7500","155.0000, 65.0000, 18.7500","150.0000, 60.0000, 18.7500","145.0000, 65.0000, 18.7500"
5.8,,Use,Points,"135.0000, 60.0000, 18.7500",,,
5.9,,Draw,HermiteSpline,,,,
5.10,,Draw,Line,"135.0000, 60.0000, 18.7500","135.0000, 55.0000, 18.7500",,
5.11,,Draw,Arc,"135.0000, 55.0000, 18.7500","135.0000, 45.0000, 18.7500","130.0000, 50.0000, 18.7500",
5.12,,Draw,Line,"135.0000, 45.0000, 18.7500","135.0000, 40.0000, 18.7500",,
5.13,,Draw,CurveArray,,,,
5.14,,Draw,Ellipse,"140.0000, 50.0000, 18.7500","160.0000, 50.0000, 18.7500",5.0000,Half
5.14,,Draw,Ellipse,"160.0000, 50.0000, 18.7500","140.0000, 50.0000, 18.7500",5.0000,Half
5.15,,Draw,CurveArray,,,,
5.16,,Draw,Arc,"135.0000, 47.5000, 18.7500","135.0000, 52.5000, 18.7500","132.5000, 50.0000, 18.7500",
5.17,,Draw,Arc,"135.0000, 52.5000, 18.7500","135.0000, 47.5000, 18.7500","137.5000, 50.0000, 18.7500",
5.18,,Draw,CurveArray,,,,
5.19,,Draw,Arc,"165.0000, 47.5000, 18.7500","165.0000, 52.5000, 18.7500","162.5000, 50.0000, 18.7500",
5.20,,Draw,Arc,"165.0000, 52.5000, 18.7500","165.0000, 47.5000, 18.7500","167.5000, 50.0000, 18.7500",
5.21,,Add,FamilyExtrusion,Bldg,"0.0000, 0.0000, 0.0000",,
