RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Use,Points,"0.00000000, 0.00000000, 100.00000000","0.00000000, 110.00000000, 54.03023059","0.00000000, 240.00000000, -41.61468365","0.00000000, 390.00000000, -98.99924966"
0.1,,Use,Points,"0.00000000, 560.00000000, -65.36436209","0.00000000, 750.00000000, 28.36621855","0.00000000, 960.00000000, 96.01702867","0.00000000, 1190.00000000, 75.39022543"
0.2,,Use,Points,"0.00000000, 1440.00000000, -14.55000338","0.00000000, 1710.00000000, -91.11302619","0.00000000, 2000.00000000, -83.90715291",
0.3,,Add,CurveByPoints,,,,
1.0,,Use,Points,"110.00000000, 0.00000000, 184.14709848","110.00000000, 110.00000000, 138.17732907","110.00000000, 240.00000000, 42.53241483","110.00000000, 390.00000000, -14.85215118"
1.1,,Use,Points,"110.00000000, 560.00000000, 18.78273639","110.00000000, 750.00000000, 112.51331703","110.00000000, 960.00000000, 180.16412715","110.00000000, 1190.00000000, 159.53732392"
1.2,,Use,Points,"110.00000000, 1440.00000000, 69.59709510","110.00000000, 1710.00000000, -6.96592771","110.00000000, 2000.00000000, 0.23994557",
1.3,,Add,CurveByPoints,,,,
2.0,,Use,Points,"240.00000000, 0.00000000, 190.92974268","240.00000000, 110.00000000, 144.95997327","240.00000000, 240.00000000, 49.31505903","240.00000000, 390.00000000, -8.06950698"
2.1,,Use,Points,"240.00000000, 560.00000000, 25.56538060","240.00000000, 750.00000000, 119.29596123","240.00000000, 960.00000000, 186.94677135","240.00000000, 1190.00000000, 166.31996812"
2.2,,Use,Points,"240.00000000, 1440.00000000, 76.37973930","240.00000000, 1710.00000000, -0.18328351","240.00000000, 2000.00000000, 7.02258977",
2.3,,Add,CurveByPoints,,,,
3.0,,Use,Points,"390.00000000, 0.00000000, 114.11200081","390.00000000, 110.00000000, 68.14223139","390.00000000, 240.00000000, -27.50268285","390.00000000, 390.00000000, -84.88724885"
3.1,,Use,Points,"390.00000000, 560.00000000, -51.25236128","390.00000000, 750.00000000, 42.47821935","390.00000000, 960.00000000, 110.12902947","390.00000000, 1190.00000000, 89.50222624"
3.2,,Use,Points,"390.00000000, 1440.00000000, -0.43800257","390.00000000, 1710.00000000, -77.00102538","390.00000000, 2000.00000000, -69.79515210",
3.3,,Add,CurveByPoints,,,,
4.0,,Use,Points,"560.00000000, 0.00000000, 24.31975047","560.00000000, 110.00000000, -21.65001894","560.00000000, 240.00000000, -117.29493319","560.00000000, 390.00000000, -174.67949919"
