RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Model,ReferenceArray,,,,
0.1,,Use,Points,"0.00000000, 0.00000000, 100.00000000","0.00000000, 110.00000000, 54.03023059","0.00000000, 240.00000000, -41.61468365","0.00000000, 390.00000000, -98.99924966"
0.2,,Use,Points,"0.00000000, 560.00000000, -65.36436209","0.00000000, 750.00000000, 28.36621855","0.00000000, 960.00000000, 96.01702867","0.00000000, 1190.00000000, 75.39022543"
0.3,,Use,Points,"0.00000000, 1440.00000000, -14.55000338","0.00000000, 1710.00000000, -91.11302619","0.00000000, 2000.00000000, -83.90715291",
0.4,,Model,ReferenceArray,,,,
0.5,,Use,Points,"110.00000000, 0.00000000, 184.14709848","110.00000000, 110.00000000, 138.17732907","110.00000000, 240.00000000, 42.53241483","110.00000000, 390.00000000, -14.85215118"
0.6,,Use,Points,"110.00000000, 560.00000000, 18.78273639","110.00000000, 750.00000000, 112.51331703","110.00000000, 960.00000000, 180.16412715","110.00000000, 1190.00000000, 159.53732392"
0.7,,Use,Points,"110.00000000, 1440.00000000, 69.59709510","110.00000000, 1710.00000000, -6.96592771","110.00000000, 2000.00000000, 0.23994557",
0.8,,Model,ReferenceArray,,,,
0.9,,Use,Points,"240.00000000, 0.00000000, 190.92974268","240.00000000, 110.00000000, 144.95997327","240.00000000, 240.00000000, 49.31505903","240.00000000, 390.00000000, -8.06950698"
0.10,,Use,Points,"240.00000000, 560.00000000, 25.56538060","240.00000000, 750.00000000, 119.29596123","240.00000000, 960.00000000, 186.94677135","240.00000000, 1190.00000000, 166.31996812"
0.11,,Use,Points,"240.00000000, 1440.00000000, 76.37973930","240.00000000, 1710.00000000, -0.18328351","240.00000000, 2000.00000000, 7.02258977",
0.12,,Model,ReferenceArray,,,,
0.13,,Use,Points,"390.00000000, 0.00000000, 114.11200081","390.00000000, 110.00000000, 68.14223139","390.00000000, 240.00000000, -27.50268285","390.00000000, 390.00000000, -84.88724885"
0.14,,Use,Points,"390.00000000, 560.00000000, -51.25236128","390.00000000, 750.00000000, 42.47821935","390.00000000, 960.00000000, 110.12902947","390.00000000, 1190.00000000, 89.50222624"
0.15,,Use,Points,"390.00000000, 1440.00000000, -0.43800257","390.00000000, 1710.00000000, -77.00102538","390.00000000, 2000.00000000, -69.79515210",
0.16,,Model,ReferenceArray,,,,
0.17,,Use,Points,"560.00000000, 0.00000000, 24.31975047","560.00000000, 110.00000000, -21.65001894","560.00000000, 240.00000000, -117.29493319","560.00000000, 390.00000000, -174.67949919"
0.18,,Use,Points,"560.00000000, 560.00000000, -141.04461162","560.00000000, 750.00000000, -47.31403098","560.00000000, 960.00000000, 20.33677913","560.00000000, 1190.00000000, -0.29002410"
0.19,,Use,Points,"560.00000000, 1440.00000000, -90.23025291","560.00000000, 1710.00000000, -166.79327572","560.00000000, 2000.00000000, -159.58740244",
0.20,,Model,ReferenceArray,,,,
0.21,,Use,Points,"750.00000000, 0.00000000, 4.10757253","750.00000000, 110.00000000, -41.86219688","750.00000000, 240.00000000, -137.50711112","750.00000000, 390.00000000, -194.89167713"
0.22,,Use,Points,"750.00000000, 560.00000000, -161.25678955","750.00000000, 750.00000000, -67.52620892","750.00000000, 960.00000000, 0.12460120","750.00000000, 1190.00000000, -20.50220203"
0.23,,Use,Points,"750.00000000, 1440.00000000, -110.44243085","750.00000000, 1710.00000000, -187.00545365","750.00000000, 2000.00000000, -179.79958037",
0.24,,Model,ReferenceArray,,,,
0.25,,Use,Points,"960.00000000, 0.00000000, 72.05845018","960.00000000, 110.00000000, 26.08868077","960.00000000, 240.00000000, -69.55623347","960.00000000, 390.00000000, -126.94079948"
0.26,,Use,Points,"960.00000000, 560.00000000, -93.30591191","960.00000000, 750.00000000, 0.42466873","960.00000000, 960.00000000, 68.07547885","960.00000000, 1190.00000000, 47.44867561"
0.27,,Use,Points,"960.00000000, 1440.00000000, -42.49155320","960.00000000, 1710.00000000, -119.05457601","960.00000000, 2000.00000000, -111.84870273",
0.28,,Model,ReferenceArray,,,,
0.29,,Use,Points,"1190.00000000, 0.00000000, 165.69865987","1190.00000000, 110.00000000, 119.72889046","1190.00000000, 240.00000000, 24.08397622","1190.00000000, 390.00000000, -33.30058979"
