RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Add,ReferencePoint,"0.00000000, 0.00000000, 100.00000000",,,
1,,Add,ReferencePoint,"0.00000000, 110.00000000, 54.03023059",,,
2,,Add,ReferencePoint,"0.00000000, 240.00000000, -41.61468365",,,
3,,Add,ReferencePoint,"0.00000000, 390.00000000, -98.99924966",,,
4,,Add,ReferencePoint,"0.00000000, 560.00000000, -65.36436209",,,
5,,Add,ReferencePoint,"0.00000000, 750.00000000, 28.36621855",,,
6,,Add,ReferencePoint,"0.00000000, 960.00000000, 96.01702867",,,
7,,Add,ReferencePoint,"0.00000000, 1190.00000000, 75.39022543",,,
8,,Add,ReferencePoint,"0.00000000, 1440.00000000, -14.55000338",,,
9,,Add,ReferencePoint,"0.00000000, 1710.00000000, -91.11302619",,,
10,,Add,ReferencePoint,"0.00000000, 2000.00000000, -83.90715291",,,
11,,Add,ReferencePoint,"110.00000000, 0.00000000, 184.14709848",,,
12,,Add,ReferencePoint,"110.00000000, 110.00000000, 138.17732907",,,
13,,Add,ReferencePoint,"110.00000000, 240.00000000, 42.53241483",,,
14,,Add,ReferencePoint,"110.00000000, 390.00000000, -14.85215118",,,
15,,Add,ReferencePoint,"110.00000000, 560.00000000, 18.78273639",,,
16,,Add,ReferencePoint,"110.00000000, 750.00000000, 112.51331703",,,
17,,Add,ReferencePoint,"110.00000000, 960.00000000, 180.16412715",,,
18,,Add,ReferencePoint,"110.00000000, 1190.00000000, 159.53732392",,,
19,,Add,ReferencePoint,"110.00000000, 1440.00000000, 69.59709510",,,
20,,Add,ReferencePoint,"110.00000000, 1710.00000000, -6.96592771",,,
21,,Add,ReferencePoint,"110.00000000, 2000.00000000, 0.23994557",,,
22,,Add,ReferencePoint,"240.00000000, 0.00000000, 190.92974268",,,
23,,Add,ReferencePoint,"240.00000000, 110.00000000, 144.95997327",,,
24,,Add,ReferencePoint,"240.00000000, 240.00000000, 49.31505903",,,
25,,Add,ReferencePoint,"240.00000000, 390.00000000, -8.06950698",,,
26,,Add,ReferencePoint,"240.00000000, 560.00000000, 25.56538060",,,
27,,Add,ReferencePoint,"240.00000000, 750.00000000, 119.29596123",,,
28,,Add,ReferencePoint,"240.00000000, 960.00000000, 186.94677135",,,
29,,Add,ReferencePoint,"240.00000000, 1190.00000000, 166.31996812",,,
30,,Add,ReferencePoint,"240.00000000, 1440.00000000, 76.37973930",,,
31,,Add,ReferencePoint,"240.00000000, 1710.00000000, -0.18328351",,,
32,,Add,ReferencePoint,"240.00000000, 2000.00000000, 7.02258977",,,
33,,Add,ReferencePoint,"390.00000000, 0.00000000, 114.11200081",,,
34,,Add,ReferencePoint,"390.00000000, 110.00000000, 68.14223139",,,
35,,Add,ReferencePoint,"390.00000000, 240.00000000, -27.50268285",,,
36,,Add,ReferencePoint,"390.00000000, 390.00000000, -84.88724885",,,
37,,Add,ReferencePoint,"390.00000000, 560.00000000, -51.25236128",,,
38,,Add,ReferencePoint,"390.00000000, 750.00000000, 42.47821935",,,
39,,Add,ReferencePoint,"390.00000000, 960.00000000, 110.12902947",,,
40,,Add,ReferencePoint,"390.00000000, 1190.00000000, 89.50222624",,,
41,,Add,ReferencePoint,"390.00000000, 1440.00000000, -0.43800257",,,
42,,Add,ReferencePoint,"390.00000000, 1710.00000000, -77.00102538",,,
43,,Add,ReferencePoint,"390.00000000, 2000.00000000, -69.79515210",,,
44,,Add,ReferencePoint,"560.00000000, 0.00000000, 24.31975047",,,
45,,Add,ReferencePoint,"560.00000000, 110.00000000, -21.65001894",,,
46,,Add,ReferencePoint,"560.00000000, 240.00000000, -117.29493319",,,
47,,Add,ReferencePoint,"560.00000000, 390.00000000, -174.67949919",,,
48,,Add,ReferencePoint,"560.00000000, 560.00000000, -141.04461162",,,
49,,Add,ReferencePoint,"560.00000000, 750.00000000, -47.31403098",,,
50,,Add,ReferencePoint,"560.00000000, 960.00000000, 20.33677913",,,
51,,Add,ReferencePoint,"560.00000000, 1190.00000000, -0.29002410",,,
52,,Add,ReferencePoint,"560.00000000, 1440.00000000, -90.23025291",,,
53,,Add,ReferencePoint,"560.00000000, 1710.00000000, -166.79327572",,,
54,,Add,ReferencePoint,"560.00000000, 2000.00000000, -159.58740244",,,
55,,Add,ReferencePoint,"750.00000000, 0.00000000, 4.10757253",,,
56,,Add,ReferencePoint,"750.00000000, 110.00000000, -41.86219688",,,
57,,Add,ReferencePoint,"750.00000000, 240.00000000, -137.50711112",,,
58,,Add,ReferencePoint,"750.00000000, 390.00000000, -194.89167713",,,
59,,Add,ReferencePoint,"750.00000000, 560.00000000, -161.25678955",,,
60,,Add,ReferencePoint,"750.00000000, 750.00000000, -67.52620892",,,
61,,Add,ReferencePoint,"750.00000000, 960.00000000, 0.12460120",,,
62,,Add,ReferencePoint,"750.00000000, 1190.00000000, -20.50220203",,,
63,,Add,ReferencePoint,"750.00000000, 1440.00000000, -110.44243085",,,
64,,Add,ReferencePoint,"750.00000000, 1710.00000000, -187.00545365",,,
65,,Add,ReferencePoint,"750.00000000, 2000.00000000, -179.79958037",,,
66,,Add,ReferencePoint,"960.00000000, 0.00000000, 72.05845018",,,
67,,Add,ReferencePoint,"960.00000000, 110.00000000, 26.08868077",,,
68,,Add,ReferencePoint,"960.00000000, 240.00000000, -69.55623347",,,
69,,Add,ReferencePoint,"960.00000000, 390.00000000, -126.94079948",,,
70,,Add,ReferencePoint,"960.00000000, 560.00000000, -93.30591191",,,
71,,Add,ReferencePoint,"960.00000000, 750.00000000, 0.42466873",,,
72,,Add,ReferencePoint,"960.00000000, 960.00000000, 68.07547885",,,
73,,Add,ReferencePoint,"960.00000000, 1190.00000000, 47.44867561",,,
74,,Add,ReferencePoint,"960.00000000, 1440.00000000, -42.49155320",,,
75,,Add,ReferencePoint,"960.00000000, 1710.00000000, -119.05457601",,,
76,,Add,ReferencePoint,"960.00000000, 2000.00000000, -111.84870273",,,
77,,Add,ReferencePoint,"1190.00000000, 0.00000000, 165.69865987",,,
78,,Add,ReferencePoint,"1190.00000000, 110.00000000, 119.72889046",,,
79,,Add,ReferencePoint,"1190.00000000, 240.00000000, 24.08397622",,,
80,,Add,ReferencePoint,"1190.00000000, 390.00000000, -33.30058979",,,
81,,Add,ReferencePoint,"1190.00000000, 560.00000000, 0.33429779",,,
82,,Add,ReferencePoint,"1190.00000000, 750.00000000, 94.06487842",,,
83,,Add,ReferencePoint,"1190.00000000, 960.00000000, 161.71568854",,,
84,,Add,ReferencePoint,"1190.00000000, 1190.00000000, 141.08888531",,,
85,,Add,ReferencePoint,"1190.00000000, 1440.00000000, 51.14865649",,,
86,,Add,ReferencePoint,"1190.00000000, 1710.00000000, -25.41436632",,,
87,,Add,ReferencePoint,"1190.00000000, 2000.00000000, -18.20849304",,,
88,,Add,ReferencePoint,"1440.00000000, 0.00000000, 198.93582466",,,
89,,Add,ReferencePoint,"1440.00000000, 110.00000000, 152.96605525",,,
90,,Add,ReferencePoint,"1440.00000000, 240.00000000, 57.32114101",,,
91,,Add,ReferencePoint,"1440.00000000, 390.00000000, -0.06342500",,,
92,,Add,ReferencePoint,"1440.00000000, 560.00000000, 33.57146258",,,
93,,Add,ReferencePoint,"1440.00000000, 750.00000000, 127.30204321",,,
94,,Add,ReferencePoint,"1440.00000000, 960.00000000, 194.95285333",,,
95,,Add,ReferencePoint,"1440.00000000, 1190.00000000, 174.32605010",,,
96,,Add,ReferencePoint,"1440.00000000, 1440.00000000, 84.38582128",,,
97,,Add,ReferencePoint,"1440.00000000, 1710.00000000, 7.82279847",,,
98,,Add,ReferencePoint,"1440.00000000, 2000.00000000, 15.02867175",,,
99,,Add,ReferencePoint,"1710.00000000, 0.00000000, 141.21184852",,,
100,,Add,ReferencePoint,"1710.00000000, 110.00000000, 95.24207911",,,
101,,Add,ReferencePoint,"1710.00000000, 240.00000000, -0.40283513",,,
102,,Add,ReferencePoint,"1710.00000000, 390.00000000, -57.78740114",,,
103,,Add,ReferencePoint,"1710.00000000, 560.00000000, -24.15251356",,,
104,,Add,ReferencePoint,"1710.00000000, 750.00000000, 69.57806707",,,
105,,Add,ReferencePoint,"1710.00000000, 960.00000000, 137.22887719",,,
106,,Add,ReferencePoint,"1710.00000000, 1190.00000000, 116.60207396",,,
107,,Add,ReferencePoint,"1710.00000000, 1440.00000000, 26.66184514",,,
108,,Add,ReferencePoint,"1710.00000000, 1710.00000000, -49.90117766",,,
109,,Add,ReferencePoint,"1710.00000000, 2000.00000000, -42.69530438",,,
110,,Add,ReferencePoint,"2000.00000000, 0.00000000, 45.59788891",,,
111,,Add,ReferencePoint,"2000.00000000, 110.00000000, -0.37188050",,,
112,,Add,ReferencePoint,"2000.00000000, 240.00000000, -96.01679474",,,
113,,Add,ReferencePoint,"2000.00000000, 390.00000000, -153.40136075",,,
114,,Add,ReferencePoint,"2000.00000000, 560.00000000, -119.76647318",,,
115,,Add,ReferencePoint,"2000.00000000, 750.00000000, -26.03589254",,,
116,,Add,ReferencePoint,"2000.00000000, 960.00000000, 41.61491758",,,
117,,Add,ReferencePoint,"2000.00000000, 1190.00000000, 20.98811435",,,
118,,Add,ReferencePoint,"2000.00000000, 1440.00000000, -68.95211447",,,
119,,Add,ReferencePoint,"2000.00000000, 1710.00000000, -145.51513728",,,
120,,Add,ReferencePoint,"2000.00000000, 2000.00000000, -138.30926400",,,
