RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Draw,CurveArray,,,,
0.1,,Draw,Line,"0.00000000, 0.00000000, 0.00000000","100.00000000, 0.00000000, 0.00000000",,
0.2,,Draw,Line,"100.00000000, 0.00000000, 0.00000000","100.00000000, 100.00000000, 0.00000000",,
0.3,,Draw,Line,"100.00000000, 100.00000000, 0.00000000","0.00000000, 100.00000000, 0.00000000",,
0.4,,Draw,Line,"0.00000000, 100.00000000, 0.00000000","0.00000000, 0.00000000, 0.00000000",,
0.5,,Draw,CurveArray,,,,
0.6,,Draw,Line,"21.00000000, 21.00000000, 0.00000000","39.50000000, 21.00000000, 0.00000000",,
0.7,,Draw,Line,"39.50000000, 21.00000000, 0.00000000","39.50000000, 39.50000000, 0.00000000",,
0.8,,Draw,Line,"39.50000000, 39.50000000, 0.00000000","21.00000000, 39.50000000, 0.00000000",,
0.9,,Draw,Line,"21.00000000, 39.50000000, 0.00000000","21.00000000, 21.00000000, 0.00000000",,
0.10,,Draw,CurveArray,,,,
0.11,,Draw,Line,"60.50000000, 21.00000000, 0.00000000","79.00000000, 21.00000000, 0.00000000",,
0.12,,Draw,Line,"79.00000000, 21.00000000, 0.00000000","79.00000000, 39.50000000, 0.00000000",,
0.13,,Draw,Line,"79.00000000, 39.50000000, 0.00000000","60.50000000, 39.50000000, 0.00000000",,
0.14,,Draw,Line,"60.50000000, 39.50000000, 0.00000000","60.50000000, 21.00000000, 0.00000000",,
0.15,,Draw,CurveArray,,,,
0.16,,Draw,Line,"21.00000000, 60.50000000, 0.00000000","39.50000000, 60.50000000, 0.00000000",,
0.17,,Draw,Line,"39.50000000, 60.50000000, 0.00000000","39.50000000, 79.00000000, 0.00000000",,
0.18,,Draw,Line,"39.50000000, 79.00000000, 0.00000000","21.00000000, 79.00000000, 0.00000000",,
0.19,,Draw,Line,"21.00000000, 79.00000000, 0.00000000","21.00000000, 60.50000000, 0.00000000",,
0.20,,Draw,CurveArray,,,,
0.21,,Draw,Line,"60.50000000, 60.50000000, 0.00000000","79.00000000, 60.50000000, 0.00000000",,
0.22,,Draw,Line,"79.00000000, 60.50000000, 0.00000000","79.00000000, 79.00000000, 0.00000000",,
0.23,,Draw,Line,"79.00000000, 79.00000000, 0.00000000","60.50000000, 79.00000000, 0.00000000",,
0.24,,Draw,Line,"60.50000000, 79.00000000, 0.00000000","60.50000000, 60.50000000, 0.00000000",,
0.25,,Add,Floor,,,,
1.0,,Draw,CurveArray,,,,
1.1,,Draw,Line,"0.00000000, 0.00000000, 10.00000000","100.00000000, 0.00000000, 10.00000000",,
1.2,,Draw,Line,"100.00000000, 0.00000000, 10.00000000","100.00000000, 100.00000000, 10.00000000",,
1.3,,Draw,Line,"100.00000000, 100.00000000, 10.00000000","0.00000000, 100.00000000, 10.00000000",,
1.4,,Draw,Line,"0.00000000, 100.00000000, 10.00000000","0.00000000, 0.00000000, 10.00000000",,
1.5,,Draw,CurveArray,,,,
1.6,,Draw,Line,"20.00000000, 20.00000000, 10.00000000","40.00000000, 20.00000000, 10.00000000",,
1.7,,Draw,Line,"40.00000000, 20.00000000, 10.00000000","40.00000000, 40.00000000, 10.00000000",,
1.8,,Draw,Line,"40.00000000, 40.00000000, 10.00000000","20.00000000, 40.00000000, 10.00000000",,
1.9,,Draw,Line,"20.00000000, 40.00000000, 10.00000000","20.00000000, 20.00000000, 10.00000000",,
1.10,,Draw,CurveArray,,,,
1.11,,Draw,Line,"60.00000000, 20.00000000, 10.00000000","80.00000000, 20.00000000, 10.00000000",,
1.12,,Draw,Line,"80.00000000, 20.00000000, 10.00000000","80.00000000, 40.00000000, 10.00000000",,
1.13,,Draw,Line,"80.00000000, 40.00000000, 10.00000000","60.00000000, 40.00000000, 10.00000000",,
