RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Add,ModelArc,"1.0000, 0.0000, 0.0000","1.4687, 2.2874, 0.0000","1.4469, 0.7904, 0.0000",
1,,Add,ModelArc,"1.4687, 2.2874, 0.0000","-3.0749, 6.7188, 0.0000","0.3170, 4.4705, 0.0000",
2,,Add,ModelArc,"-3.0749, 6.7188, 0.0000","-19.8845, 2.8345, 0.0000","-9.7599, 7.2909, 0.0000",
3,,Add,ModelArc,"-19.8845, 2.8345, 0.0000","-35.6877, -41.3200, 0.0000","-31.0112, -11.6163, 0.0000",
4,,Add,ModelArc,"-35.6877, -41.3200, 0.0000","42.0992, -142.3170, 0.0000","-18.9752, -87.9945, 0.0000",
5,,Add,ModelArc,"42.0992, -142.3170, 0.0000","387.3603, -112.7243, 0.0000","173.4058, -172.6400, 0.0000",
6,,Add,ModelArc,"387.3603, -112.7243, 0.0000","826.7542, 720.4733, 0.0000","649.5691, 143.0853, 0.0000",
7,,Add,ModelArc,"826.7542, 720.4733, 0.0000","-433.7295, 2949.2354, 0.0000","626.7314, 1695.9437, 0.0000",
8,,Add,ModelArc,"-433.7295, 2949.2354, 0.0000","-7382.9650, 3339.4307, 0.0000","-2958.7493, 3924.3796, 0.0000",
9,,Add,ModelArc,"-7382.9650, 3339.4307, 0.0000","-18481.7803, -11982.8624, 0.0000","-13321.9476, -1003.9984, 0.0000",
