RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Add,Grid,"0.0000, 0.0000, 0.0000","2.0000, 0.0000, 0.0000",,
1,,Modify,ParameterSet,Name,1,,
2,,Add,Grid,"0.0000, 0.0000, 0.0000","2.9374, 4.5747, 0.0000",,
3,,Modify,ParameterSet,Name,2,,
4,,Add,Grid,"0.0000, 0.0000, 0.0000","-6.1499, 13.4377, 0.0000",,
5,,Modify,ParameterSet,Name,3,,
6,,Add,Grid,"0.0000, 0.0000, 0.0000","-39.7691, 5.6689, 0.0000",,
7,,Modify,ParameterSet,Name,4,,
8,,Add,Grid,"0.0000, 0.0000, 0.0000","-71.3755, -82.6400, 0.0000",,
9,,Modify,ParameterSet,Name,5,,
10,,Add,Grid,"0.0000, 0.0000, 0.0000","84.1984, -284.6340, 0.0000",,
11,,Modify,ParameterSet,Name,6,,
12,,Add,Grid,"0.0000, 0.0000, 0.0000","774.7207, -225.4485, 0.0000",,
13,,Modify,ParameterSet,Name,7,,
14,,Add,Grid,"0.0000, 0.0000, 0.0000","1653.5084, 1440.9466, 0.0000",,
15,,Modify,ParameterSet,Name,8,,
16,,Add,Grid,"0.0000, 0.0000, 0.0000","-867.4590, 5898.4707, 0.0000",,
17,,Modify,ParameterSet,Name,9,,
18,,Add,Grid,"0.0000, 0.0000, 0.0000","-14765.9300, 6678.8613, 0.0000",,
19,,Modify,ParameterSet,Name,10,,
20,,Add,Grid,"0.0000, 0.0000, 0.0000","-36963.5607, -23965.7248, 0.0000",,
21,,Modify,ParameterSet,Name,11,,
