RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Use,Points,"0.0000, 0.0000, 30.6666","0.0000, 10.0000, 29.0550","0.0000, 20.0000, 29.4614","0.0000, 30.0000, 29.9480"
0.1,,Use,Points,"0.0000, 40.0000, 24.3790","0.0000, 50.0000, 22.9395","0.0000, 60.0000, 20.7302","0.0000, 70.0000, 16.1236"
0.2,,Use,Points,"0.0000, 80.0000, 15.7028","0.0000, 90.0000, 17.2067","10.0000, 0.0000, 46.5917","10.0000, 10.0000, 40.8775"
0.3,,Use,Points,"10.0000, 20.0000, 39.2599","10.0000, 30.0000, 33.3652","10.0000, 40.0000, 30.2050","10.0000, 50.0000, 26.5618"
0.4,,Use,Points,"10.0000, 60.0000, 21.9250","10.0000, 70.0000, 17.3439","10.0000, 80.0000, 8.7863","10.0000, 90.0000, 9.5456"
0.5,,Use,Points,"20.0000, 0.0000, 55.4484","20.0000, 10.0000, 52.7404","20.0000, 20.0000, 49.0416","20.0000, 30.0000, 40.5154"
0.6,,Use,Points,"20.0000, 40.0000, 35.7158","20.0000, 50.0000, 28.6453","20.0000, 60.0000, 19.8070","20.0000, 70.0000, 11.9700"
0.7,,Use,Points,"20.0000, 80.0000, 2.2026","20.0000, 90.0000, 0.8914","30.0000, 0.0000, 65.8805","30.0000, 10.0000, 65.0430"
0.8,,Use,Points,"30.0000, 20.0000, 55.0445","30.0000, 30.0000, 46.8110","30.0000, 40.0000, 40.6567","30.0000, 50.0000, 25.9196"
0.9,,Use,Points,"30.0000, 60.0000, 16.0460","30.0000, 70.0000, 4.8591","30.0000, 80.0000, -1.6199","30.0000, 90.0000, -6.7583"
0.10,,Use,Points,"40.0000, 0.0000, 78.3506","40.0000, 10.0000, 70.9013","40.0000, 20.0000, 66.9444","40.0000, 30.0000, 54.4030"
0.11,,Use,Points,"40.0000, 40.0000, 44.8398","40.0000, 50.0000, 28.1579","40.0000, 60.0000, 13.7697","40.0000, 70.0000, 0.3795"
0.12,,Use,Points,"40.0000, 80.0000, -5.9870","40.0000, 90.0000, -16.2371","50.0000, 0.0000, 85.9077","50.0000, 10.0000, 85.7752"
0.13,,Use,Points,"50.0000, 20.0000, 72.4498","50.0000, 30.0000, 61.3071","50.0000, 40.0000, 45.6651","50.0000, 50.0000, 31.6597"
0.14,,Use,Points,"50.0000, 60.0000, 14.6029","50.0000, 70.0000, -1.7935","50.0000, 80.0000, -14.4620","50.0000, 90.0000, -22.1162"
0.15,,Use,Points,"60.0000, 0.0000, 97.5441","60.0000, 10.0000, 92.0274","60.0000, 20.0000, 82.5915","60.0000, 30.0000, 66.5095"
0.16,,Use,Points,"60.0000, 40.0000, 51.2657","60.0000, 50.0000, 29.4688","60.0000, 60.0000, 11.7434","60.0000, 70.0000, -3.4654"
0.17,,Use,Points,"60.0000, 80.0000, -17.0616","60.0000, 90.0000, -27.7802","70.0000, 0.0000, 103.4587","70.0000, 10.0000, 98.8993"
0.18,,Use,Points,"70.0000, 20.0000, 85.9940","70.0000, 30.0000, 71.1551","70.0000, 40.0000, 53.1090","70.0000, 50.0000, 32.2471"
0.19,,Use,Points,"70.0000, 60.0000, 15.0740","70.0000, 70.0000, -5.9552","70.0000, 80.0000, -20.2747","70.0000, 90.0000, -31.5155"
0.20,,Use,Points,"80.0000, 0.0000, 111.2408","80.0000, 10.0000, 104.8980","80.0000, 20.0000, 94.6887","80.0000, 30.0000, 77.6397"
0.21,,Use,Points,"80.0000, 40.0000, 57.3773","80.0000, 50.0000, 33.2157","80.0000, 60.0000, 13.3771","80.0000, 70.0000, -4.9032"
0.22,,Use,Points,"80.0000, 80.0000, -19.9198","80.0000, 90.0000, -35.6910","90.0000, 0.0000, 115.9675","90.0000, 10.0000, 105.9802"
0.23,,Use,Points,"90.0000, 20.0000, 93.0517","90.0000, 30.0000, 76.9165","90.0000, 40.0000, 56.6576","90.0000, 50.0000, 38.5213"
0.24,,Use,Points,"90.0000, 60.0000, 12.8265","90.0000, 70.0000, -7.4980","90.0000, 80.0000, -21.8355","90.0000, 90.0000, -33.3881"
0.25,,Use,Points,"100.0000, 0.0000, 116.2145","100.0000, 10.0000, 113.0649","100.0000, 20.0000, 99.4410","100.0000, 30.0000, 81.0268"
0.26,,Use,Points,"100.0000, 40.0000, 57.5466","100.0000, 50.0000, 38.0258","100.0000, 60.0000, 16.3406","100.0000, 70.0000, -3.0729"
