RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,AdaptiveComponentType,AdapTwist,AdapTwist,,
1,,Add,AdaptiveComponent,"-48.27835281, -50.34420082, 10.00000000","50.34420082, -48.27835281, 10.00000000","50.00000000, -50.00000000, 0.00000000","-50.00000000, -50.00000000, 0.00000000"
2,,Add,AdaptiveComponent,"50.34420082, -48.27835281, 10.00000000","48.27835281, 50.34420082, 10.00000000","50.00000000, 50.00000000, 0.00000000","50.00000000, -50.00000000, 0.00000000"
3,,Add,AdaptiveComponent,"48.27835281, 50.34420082, 10.00000000","-50.34420082, 48.27835281, 10.00000000","-50.00000000, 50.00000000, 0.00000000","50.00000000, 50.00000000, 0.00000000"
4,,Add,AdaptiveComponent,"-50.34420082, 48.27835281, 10.00000000","-48.27835281, -50.34420082, 10.00000000","-50.00000000, -50.00000000, 0.00000000","-50.00000000, 50.00000000, 0.00000000"
5,,Add,AdaptiveComponent,"-46.56485645, -50.63890096, 20.00000000","50.63890096, -46.56485645, 20.00000000","50.34420082, -48.27835281, 10.00000000","-48.27835281, -50.34420082, 10.00000000"
6,,Add,AdaptiveComponent,"50.63890096, -46.56485645, 20.00000000","46.56485645, 50.63890096, 20.00000000","48.27835281, 50.34420082, 10.00000000","50.34420082, -48.27835281, 10.00000000"
7,,Add,AdaptiveComponent,"46.56485645, 50.63890096, 20.00000000","-50.63890096, 46.56485645, 20.00000000","-50.34420082, 48.27835281, 10.00000000","48.27835281, 50.34420082, 10.00000000"
8,,Add,AdaptiveComponent,"-50.63890096, 46.56485645, 20.00000000","-46.56485645, -50.63890096, 20.00000000","-48.27835281, -50.34420082, 10.00000000","-50.34420082, 48.27835281, 10.00000000"
9,,Add,AdaptiveComponent,"-44.86115114, -50.88498759, 30.00000000","50.88498759, -44.86115114, 30.00000000","50.63890096, -46.56485645, 20.00000000","-46.56485645, -50.63890096, 20.00000000"
10,,Add,AdaptiveComponent,"50.88498759, -44.86115114, 30.00000000","44.86115114, 50.88498759, 30.00000000","46.56485645, 50.63890096, 20.00000000","50.63890096, -46.56485645, 20.00000000"
11,,Add,AdaptiveComponent,"44.86115114, 50.88498759, 30.00000000","-50.88498759, 44.86115114, 30.00000000","-50.63890096, 46.56485645, 20.00000000","46.56485645, 50.63890096, 20.00000000"
12,,Add,AdaptiveComponent,"-50.88498759, 44.86115114, 30.00000000","-44.86115114, -50.88498759, 30.00000000","-46.56485645, -50.63890096, 20.00000000","-50.63890096, 46.56485645, 20.00000000"
13,,Add,AdaptiveComponent,"-43.16882620, -51.08340738, 40.00000000","51.08340738, -43.16882620, 40.00000000","50.88498759, -44.86115114, 30.00000000","-44.86115114, -50.88498759, 30.00000000"
14,,Add,AdaptiveComponent,"51.08340738, -43.16882620, 40.00000000","43.16882620, 51.08340738, 40.00000000","44.86115114, 50.88498759, 30.00000000","50.88498759, -44.86115114, 30.00000000"
15,,Add,AdaptiveComponent,"43.16882620, 51.08340738, 40.00000000","-51.08340738, 43.16882620, 40.00000000","-50.88498759, 44.86115114, 30.00000000","44.86115114, 50.88498759, 30.00000000"
16,,Add,AdaptiveComponent,"-51.08340738, 43.16882620, 40.00000000","-43.16882620, -51.08340738, 40.00000000","-44.86115114, -50.88498759, 30.00000000","-50.88498759, 44.86115114, 30.00000000"
17,,Add,AdaptiveComponent,"-41.48941753, -51.23516374, 50.00000000","51.23516374, -41.48941753, 50.00000000","51.08340738, -43.16882620, 40.00000000","-43.16882620, -51.08340738, 40.00000000"
18,,Add,AdaptiveComponent,"51.23516374, -41.48941753, 50.00000000","41.48941753, 51.23516374, 50.00000000","43.16882620, 51.08340738, 40.00000000","51.08340738, -43.16882620, 40.00000000"
19,,Add,AdaptiveComponent,"41.48941753, 51.23516374, 50.00000000","-51.23516374, 41.48941753, 50.00000000","-51.08340738, 43.16882620, 40.00000000","43.16882620, 51.08340738, 40.00000000"
20,,Add,AdaptiveComponent,"-51.23516374, 41.48941753, 50.00000000","-41.48941753, -51.23516374, 50.00000000","-43.16882620, -51.08340738, 40.00000000","-51.08340738, 43.16882620, 40.00000000"
21,,Add,AdaptiveComponent,"-39.82440527, -51.34131391, 60.00000000","51.34131391, -39.82440527, 60.00000000","51.23516374, -41.48941753, 50.00000000","-41.48941753, -51.23516374, 50.00000000"
22,,Add,AdaptiveComponent,"51.34131391, -39.82440527, 60.00000000","39.82440527, 51.34131391, 60.00000000","41.48941753, 51.23516374, 50.00000000","51.23516374, -41.48941753, 50.00000000"
23,,Add,AdaptiveComponent,"39.82440527, 51.34131391, 60.00000000","-51.34131391, 39.82440527, 60.00000000","-51.23516374, 41.48941753, 50.00000000","41.48941753, 51.23516374, 50.00000000"
24,,Add,AdaptiveComponent,"-51.34131391, 39.82440527, 60.00000000","-39.82440527, -51.34131391, 60.00000000","-41.48941753, -51.23516374, 50.00000000","-51.23516374, 41.48941753, 50.00000000"
25,,Add,AdaptiveComponent,"-38.17521156, -51.40296597, 70.00000000","51.40296597, -38.17521156, 70.00000000","51.34131391, -39.82440527, 60.00000000","-39.82440527, -51.34131391, 60.00000000"
26,,Add,AdaptiveComponent,"51.40296597, -38.17521156, 70.00000000","38.17521156, 51.40296597, 70.00000000","39.82440527, 51.34131391, 60.00000000","51.34131391, -39.82440527, 60.00000000"
27,,Add,AdaptiveComponent,"38.17521156, 51.40296597, 70.00000000","-51.40296597, 38.17521156, 70.00000000","-51.34131391, 39.82440527, 60.00000000","39.82440527, 51.34131391, 60.00000000"
28,,Add,AdaptiveComponent,"-51.40296597, 38.17521156, 70.00000000","-38.17521156, -51.40296597, 70.00000000","-39.82440527, -51.34131391, 60.00000000","-51.34131391, 39.82440527, 60.00000000"
29,,Add,AdaptiveComponent,"-36.54319855, -51.42127572, 80.00000000","51.42127572, -36.54319855, 80.00000000","51.40296597, -38.17521156, 70.00000000","-38.17521156, -51.40296597, 70.00000000"
30,,Add,AdaptiveComponent,"51.42127572, -36.54319855, 80.00000000","36.54319855, 51.42127572, 80.00000000","38.17521156, 51.40296597, 70.00000000","51.40296597, -38.17521156, 70.00000000"
31,,Add,AdaptiveComponent,"36.54319855, 51.42127572, 80.00000000","-51.42127572, 36.54319855, 80.00000000","-51.40296597, 38.17521156, 70.00000000","38.17521156, 51.40296597, 70.00000000"
32,,Add,AdaptiveComponent,"-51.42127572, 36.54319855, 80.00000000","-36.54319855, -51.42127572, 80.00000000","-38.17521156, -51.40296597, 70.00000000","-51.40296597, 38.17521156, 70.00000000"
33,,Add,AdaptiveComponent,"-34.92966651, -51.39744346, 90.00000000","51.39744346, -34.92966651, 90.00000000","51.42127572, -36.54319855, 80.00000000","-36.54319855, -51.42127572, 80.00000000"
34,,Add,AdaptiveComponent,"51.39744346, -34.92966651, 90.00000000","34.92966651, 51.39744346, 90.00000000","36.54319855, 51.42127572, 80.00000000","51.42127572, -36.54319855, 80.00000000"
35,,Add,AdaptiveComponent,"34.92966651, 51.39744346, 90.00000000","-51.39744346, 34.92966651, 90.00000000","-51.42127572, 36.54319855, 80.00000000","36.54319855, 51.42127572, 80.00000000"
36,,Add,AdaptiveComponent,"-51.39744346, 34.92966651, 90.00000000","-34.92966651, -51.39744346, 90.00000000","-36.54319855, -51.42127572, 80.00000000","-51.42127572, 36.54319855, 80.00000000"
37,,Add,AdaptiveComponent,"-33.33585213, -51.33271073, 100.00000000","51.33271073, -33.33585213, 100.00000000","51.39744346, -34.92966651, 90.00000000","-34.92966651, -51.39744346, 90.00000000"
38,,Add,AdaptiveComponent,"51.33271073, -33.33585213, 100.00000000","33.33585213, 51.33271073, 100.00000000","34.92966651, 51.39744346, 90.00000000","51.39744346, -34.92966651, 90.00000000"
39,,Add,AdaptiveComponent,"33.33585213, 51.33271073, 100.00000000","-51.33271073, 33.33585213, 100.00000000","-51.39744346, 34.92966651, 90.00000000","34.92966651, 51.39744346, 90.00000000"
40,,Add,AdaptiveComponent,"-51.33271073, 33.33585213, 100.00000000","-33.33585213, -51.33271073, 100.00000000","-34.92966651, -51.39744346, 90.00000000","-51.39744346, 34.92966651, 90.00000000"
41,,Add,AdaptiveComponent,"-31.76292702, -51.22835694, 110.00000000","51.22835694, -31.76292702, 110.00000000","51.33271073, -33.33585213, 100.00000000","-33.33585213, -51.33271073, 100.00000000"
42,,Add,AdaptiveComponent,"51.22835694, -31.76292702, 110.00000000","31.76292702, 51.22835694, 110.00000000","33.33585213, 51.33271073, 100.00000000","51.33271073, -33.33585213, 100.00000000"
43,,Add,AdaptiveComponent,"31.76292702, 51.22835694, 110.00000000","-51.22835694, 31.76292702, 110.00000000","-51.33271073, 33.33585213, 100.00000000","33.33585213, 51.33271073, 100.00000000"
44,,Add,AdaptiveComponent,"-51.22835694, 31.76292702, 110.00000000","-31.76292702, -51.22835694, 110.00000000","-33.33585213, -51.33271073, 100.00000000","-51.33271073, 33.33585213, 100.00000000"
45,,Add,AdaptiveComponent,"-30.21199636, -51.08569594, 120.00000000","51.08569594, -30.21199636, 120.00000000","51.22835694, -31.76292702, 110.00000000","-31.76292702, -51.22835694, 110.00000000"
46,,Add,AdaptiveComponent,"51.08569594, -30.21199636, 120.00000000","30.21199636, 51.08569594, 120.00000000","31.76292702, 51.22835694, 110.00000000","51.22835694, -31.76292702, 110.00000000"
47,,Add,AdaptiveComponent,"30.21199636, 51.08569594, 120.00000000","-51.08569594, 30.21199636, 120.00000000","-51.22835694, 31.76292702, 110.00000000","31.76292702, 51.22835694, 110.00000000"
48,,Add,AdaptiveComponent,"-51.08569594, 30.21199636, 120.00000000","-30.21199636, -51.08569594, 120.00000000","-31.76292702, -51.22835694, 110.00000000","-51.22835694, 31.76292702, 110.00000000"
49,,Add,AdaptiveComponent,"-28.68409774, -50.90607257, 130.00000000","50.90607257, -28.68409774, 130.00000000","51.08569594, -30.21199636, 120.00000000","-30.21199636, -51.08569594, 120.00000000"
50,,Add,AdaptiveComponent,"50.90607257, -28.68409774, 130.00000000","28.68409774, 50.90607257, 130.00000000","30.21199636, 51.08569594, 120.00000000","51.08569594, -30.21199636, 120.00000000"
51,,Add,AdaptiveComponent,"28.68409774, 50.90607257, 130.00000000","-50.90607257, 28.68409774, 130.00000000","-51.08569594, 30.21199636, 120.00000000","30.21199636, 51.08569594, 120.00000000"
52,,Add,AdaptiveComponent,"-50.90607257, 28.68409774, 130.00000000","-28.68409774, -50.90607257, 130.00000000","-30.21199636, -51.08569594, 120.00000000","-51.08569594, 30.21199636, 120.00000000"
53,,Add,AdaptiveComponent,"-27.18020018, -50.69085912, 140.00000000","50.69085912, -27.18020018, 140.00000000","50.90607257, -28.68409774, 130.00000000","-28.68409774, -50.90607257, 130.00000000"
54,,Add,AdaptiveComponent,"50.69085912, -27.18020018, 140.00000000","27.18020018, 50.69085912, 140.00000000","28.68409774, 50.90607257, 130.00000000","50.90607257, -28.68409774, 130.00000000"
55,,Add,AdaptiveComponent,"27.18020018, 50.69085912, 140.00000000","-50.69085912, 27.18020018, 140.00000000","-50.90607257, 28.68409774, 130.00000000","28.68409774, 50.90607257, 130.00000000"
56,,Add,AdaptiveComponent,"-50.69085912, 27.18020018, 140.00000000","-27.18020018, -50.69085912, 140.00000000","-28.68409774, -50.90607257, 130.00000000","-50.90607257, 28.68409774, 130.00000000"
57,,Add,AdaptiveComponent,"-25.70120338, -50.44145176, 150.00000000","50.44145176, -25.70120338, 150.00000000","50.69085912, -27.18020018, 140.00000000","-27.18020018, -50.69085912, 140.00000000"
58,,Add,AdaptiveComponent,"50.44145176, -25.70120338, 150.00000000","25.70120338, 50.44145176, 150.00000000","27.18020018, 50.69085912, 140.00000000","50.69085912, -27.18020018, 140.00000000"
59,,Add,AdaptiveComponent,"25.70120338, 50.44145176, 150.00000000","-50.44145176, 25.70120338, 150.00000000","-50.69085912, 27.18020018, 140.00000000","27.18020018, 50.69085912, 140.00000000"
60,,Add,AdaptiveComponent,"-50.44145176, 25.70120338, 150.00000000","-25.70120338, -50.44145176, 150.00000000","-27.18020018, -50.69085912, 140.00000000","-50.69085912, 27.18020018, 140.00000000"
61,,Add,AdaptiveComponent,"-24.24793708, -50.15926701, 160.00000000","50.15926701, -24.24793708, 160.00000000","50.44145176, -25.70120338, 150.00000000","-25.70120338, -50.44145176, 150.00000000"
