RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,WallHeight,10.00000000,,,
1,,Add,Floor,"-50.00000000, -50.00000000, 0.00000000","50.00000000, -50.00000000, 0.00000000","50.00000000, 50.00000000, 0.00000000","-50.00000000, 50.00000000, 0.00000000"
2,,Add,Floor,"-48.27835281, -50.34420082, 10.00000000","50.34420082, -48.27835281, 10.00000000","48.27835281, 50.34420082, 10.00000000","-50.34420082, 48.27835281, 10.00000000"
3,,Add,Floor,"-46.56485645, -50.63890096, 20.00000000","50.63890096, -46.56485645, 20.00000000","46.56485645, 50.63890096, 20.00000000","-50.63890096, 46.56485645, 20.00000000"
4,,Add,Floor,"-44.86115114, -50.88498759, 30.00000000","50.88498759, -44.86115114, 30.00000000","44.86115114, 50.88498759, 30.00000000","-50.88498759, 44.86115114, 30.00000000"
5,,Add,Floor,"-43.16882620, -51.08340738, 40.00000000","51.08340738, -43.16882620, 40.00000000","43.16882620, 51.08340738, 40.00000000","-51.08340738, 43.16882620, 40.00000000"
6,,Add,Floor,"-41.48941753, -51.23516374, 50.00000000","51.23516374, -41.48941753, 50.00000000","41.48941753, 51.23516374, 50.00000000","-51.23516374, 41.48941753, 50.00000000"
7,,Add,Floor,"-39.82440527, -51.34131391, 60.00000000","51.34131391, -39.82440527, 60.00000000","39.82440527, 51.34131391, 60.00000000","-51.34131391, 39.82440527, 60.00000000"
8,,Add,Floor,"-38.17521156, -51.40296597, 70.00000000","51.40296597, -38.17521156, 70.00000000","38.17521156, 51.40296597, 70.00000000","-51.40296597, 38.17521156, 70.00000000"
9,,Add,Floor,"-36.54319855, -51.42127572, 80.00000000","51.42127572, -36.54319855, 80.00000000","36.54319855, 51.42127572, 80.00000000","-51.42127572, 36.54319855, 80.00000000"
10,,Add,Floor,"-34.92966651, -51.39744346, 90.00000000","51.39744346, -34.92966651, 90.00000000","34.92966651, 51.39744346, 90.00000000","-51.39744346, 34.92966651, 90.00000000"
11,,Add,Floor,"-33.33585213, -51.33271073, 100.00000000","51.33271073, -33.33585213, 100.00000000","33.33585213, 51.33271073, 100.00000000","-51.33271073, 33.33585213, 100.00000000"
12,,Add,Floor,"-31.76292702, -51.22835694, 110.00000000","51.22835694, -31.76292702, 110.00000000","31.76292702, 51.22835694, 110.00000000","-51.22835694, 31.76292702, 110.00000000"
13,,Add,Floor,"-30.21199636, -51.08569594, 120.00000000","51.08569594, -30.21199636, 120.00000000","30.21199636, 51.08569594, 120.00000000","-51.08569594, 30.21199636, 120.00000000"
14,,Add,Floor,"-28.68409774, -50.90607257, 130.00000000","50.90607257, -28.68409774, 130.00000000","28.68409774, 50.90607257, 130.00000000","-50.90607257, 28.68409774, 130.00000000"
15,,Add,Floor,"-27.18020018, -50.69085912, 140.00000000","50.69085912, -27.18020018, 140.00000000","27.18020018, 50.69085912, 140.00000000","-50.69085912, 27.18020018, 140.00000000"
16,,Add,Floor,"-25.70120338, -50.44145176, 150.00000000","50.44145176, -25.70120338, 150.00000000","25.70120338, 50.44145176, 150.00000000","-50.44145176, 25.70120338, 150.00000000"
17,,Add,Floor,"-24.24793708, -50.15926701, 160.00000000","50.15926701, -24.24793708, 160.00000000","24.24793708, 50.15926701, 160.00000000","-50.15926701, 24.24793708, 160.00000000"
18,,Add,Floor,"-22.82116068, -49.84573809, 170.00000000","49.84573809, -22.82116068, 170.00000000","22.82116068, 49.84573809, 170.00000000","-49.84573809, 22.82116068, 170.00000000"
19,,Add,Floor,"-21.42156301, -49.50231137, 180.00000000","49.50231137, -21.42156301, 180.00000000","21.42156301, 49.50231137, 180.00000000","-49.50231137, 21.42156301, 180.00000000"
20,,Add,Floor,"-20.04976230, -49.13044274, 190.00000000","49.13044274, -20.04976230, 190.00000000","20.04976230, 49.13044274, 190.00000000","-49.13044274, 20.04976230, 190.00000000"
21,,Add,Floor,"-18.70630633, -48.73159407, 200.00000000","48.73159407, -18.70630633, 200.00000000","18.70630633, 48.73159407, 200.00000000","-48.73159407, 18.70630633, 200.00000000"
22,,Add,Floor,"-17.39167282, -48.30722964, 210.00000000","48.30722964, -17.39167282, 210.00000000","17.39167282, 48.30722964, 210.00000000","-48.30722964, 17.39167282, 210.00000000"
23,,Add,Floor,"-16.10626990, -47.85881261, 220.00000000","47.85881261, -16.10626990, 220.00000000","16.10626990, 47.85881261, 220.00000000","-47.85881261, 16.10626990, 220.00000000"
24,,Add,Floor,"-14.85043684, -47.38780159, 230.00000000","47.38780159, -14.85043684, 230.00000000","14.85043684, 47.38780159, 230.00000000","-47.38780159, 14.85043684, 230.00000000"
25,,Add,Floor,"-13.62444498, -46.89564721, 240.00000000","46.89564721, -13.62444498, 240.00000000","13.62444498, 46.89564721, 240.00000000","-46.89564721, 13.62444498, 240.00000000"
26,,Add,Floor,"-12.42849874, -46.38378876, 250.00000000","46.38378876, -12.42849874, 250.00000000","12.42849874, 46.38378876, 250.00000000","-46.38378876, 12.42849874, 250.00000000"
27,,Add,Floor,"-11.26273691, -45.85365092, 260.00000000","45.85365092, -11.26273691, 260.00000000","11.26273691, 45.85365092, 260.00000000","-45.85365092, 11.26273691, 260.00000000"
28,,Add,Floor,"-10.12723402, -45.30664059, 270.00000000","45.30664059, -10.12723402, 270.00000000","10.12723402, 45.30664059, 270.00000000","-45.30664059, 10.12723402, 270.00000000"
29,,Add,Floor,"-9.02200195, -44.74414376, 280.00000000","44.74414376, -9.02200195, 280.00000000","9.02200195, 44.74414376, 280.00000000","-44.74414376, 9.02200195, 280.00000000"
30,,Add,Floor,"-7.94699163, -44.16752254, 290.00000000","44.16752254, -7.94699163, 290.00000000","7.94699163, 44.16752254, 290.00000000","-44.16752254, 7.94699163, 290.00000000"
31,,Add,Floor,"-6.90209492, -43.57811225, 300.00000000","43.57811225, -6.90209492, 300.00000000","6.90209492, 43.57811225, 300.00000000","-43.57811225, 6.90209492, 300.00000000"
32,,Add,Floor,"-5.88714665, -42.97721865, 310.00000000","42.97721865, -5.88714665, 310.00000000","5.88714665, 42.97721865, 310.00000000","-42.97721865, 5.88714665, 310.00000000"
33,,Add,Floor,"-4.90192679, -42.36611528, 320.00000000","42.36611528, -4.90192679, 320.00000000","4.90192679, 42.36611528, 320.00000000","-42.36611528, 4.90192679, 320.00000000"
