RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,BeamJustification,Top,,,
1,,Add,Beam,"-47.33320000, -47.33320000, -1.00000000","47.33320000, -47.33320000, -1.00000000",,
2,,Add,Beam,"47.33320000, -47.33320000, -1.00000000","47.33320000, 47.33320000, -1.00000000",,
3,,Add,Beam,"47.33320000, 47.33320000, -1.00000000","-47.33320000, 47.33320000, -1.00000000",,
4,,Add,Beam,"-47.33320000, 47.33320000, -1.00000000","-47.33320000, -47.33320000, -1.00000000",,
5,,Add,Column,"-47.33320000, -47.33320000, -1.00000000","-45.66798693, -47.62213644, 9.00000000",,
6,,Add,Column,"47.33320000, -47.33320000, -1.00000000","47.62213644, -45.66798693, 9.00000000",,
7,,Add,Column,"47.33320000, 47.33320000, -1.00000000","45.66798693, 47.62213644, 9.00000000",,
8,,Add,Column,"-47.33320000, 47.33320000, -1.00000000","-47.62213644, 45.66798693, 9.00000000",,
9,,Add,Beam,"-45.66798693, -47.62213644, 9.00000000","47.62213644, -45.66798693, 9.00000000",,
10,,Add,Beam,"47.62213644, -45.66798693, 9.00000000","45.66798693, 47.62213644, 9.00000000",,
11,,Add,Beam,"45.66798693, 47.62213644, 9.00000000","-47.62213644, 45.66798693, 9.00000000",,
12,,Add,Beam,"-47.62213644, 45.66798693, 9.00000000","-45.66798693, -47.62213644, 9.00000000",,
13,,Add,Column,"-45.66798693, -47.62213644, 9.00000000","-44.01206968, -47.86276621, 19.00000000",,
14,,Add,Column,"47.62213644, -45.66798693, 9.00000000","47.86276621, -44.01206968, 19.00000000",,
15,,Add,Column,"45.66798693, 47.62213644, 9.00000000","44.01206968, 47.86276621, 19.00000000",,
16,,Add,Column,"-47.62213644, 45.66798693, 9.00000000","-47.86276621, 44.01206968, 19.00000000",,
17,,Add,Beam,"-44.01206968, -47.86276621, 19.00000000","47.86276621, -44.01206968, 19.00000000",,
18,,Add,Beam,"47.86276621, -44.01206968, 19.00000000","44.01206968, 47.86276621, 19.00000000",,
19,,Add,Beam,"44.01206968, 47.86276621, 19.00000000","-47.86276621, 44.01206968, 19.00000000",,
20,,Add,Beam,"-47.86276621, 44.01206968, 19.00000000","-44.01206968, -47.86276621, 19.00000000",,
21,,Add,Column,"-44.01206968, -47.86276621, 19.00000000","-42.36706321, -48.05600016, 29.00000000",,
22,,Add,Column,"47.86276621, -44.01206968, 19.00000000","48.05600016, -42.36706321, 29.00000000",,
23,,Add,Column,"44.01206968, 47.86276621, 19.00000000","42.36706321, 48.05600016, 29.00000000",,
24,,Add,Column,"-47.86276621, 44.01206968, 19.00000000","-48.05600016, 42.36706321, 29.00000000",,
25,,Add,Beam,"-42.36706321, -48.05600016, 29.00000000","48.05600016, -42.36706321, 29.00000000",,
26,,Add,Beam,"48.05600016, -42.36706321, 29.00000000","42.36706321, 48.05600016, 29.00000000",,
27,,Add,Beam,"42.36706321, 48.05600016, 29.00000000","-48.05600016, 42.36706321, 29.00000000",,
28,,Add,Beam,"-48.05600016, 42.36706321, 29.00000000","-42.36706321, -48.05600016, 29.00000000",,
29,,Add,Column,"-42.36706321, -48.05600016, 29.00000000","-40.73453111, -48.20280815, 39.00000000",,
30,,Add,Column,"48.05600016, -42.36706321, 29.00000000","48.20280815, -40.73453111, 39.00000000",,
31,,Add,Column,"42.36706321, 48.05600016, 29.00000000","40.73453111, 48.20280815, 39.00000000",,
32,,Add,Column,"-48.05600016, 42.36706321, 29.00000000","-48.20280815, 40.73453111, 39.00000000",,
33,,Add,Beam,"-40.73453111, -48.20280815, 39.00000000","48.20280815, -40.73453111, 39.00000000",,
34,,Add,Beam,"48.20280815, -40.73453111, 39.00000000","40.73453111, 48.20280815, 39.00000000",,
35,,Add,Beam,"40.73453111, 48.20280815, 39.00000000","-48.20280815, 40.73453111, 39.00000000",,
36,,Add,Beam,"-48.20280815, 40.73453111, 39.00000000","-40.73453111, -48.20280815, 39.00000000",,
37,,Add,Column,"-40.73453111, -48.20280815, 39.00000000","-39.11598305, -48.30421624, 49.00000000",,
38,,Add,Column,"48.20280815, -40.73453111, 39.00000000","48.30421624, -39.11598305, 49.00000000",,
39,,Add,Column,"40.73453111, 48.20280815, 39.00000000","39.11598305, 48.30421624, 49.00000000",,
40,,Add,Column,"-48.20280815, 40.73453111, 39.00000000","-48.30421624, 39.11598305, 49.00000000",,
41,,Add,Beam,"-39.11598305, -48.30421624, 49.00000000","48.30421624, -39.11598305, 49.00000000",,
42,,Add,Beam,"48.30421624, -39.11598305, 49.00000000","39.11598305, 48.30421624, 49.00000000",,
43,,Add,Beam,"39.11598305, 48.30421624, 49.00000000","-48.30421624, 39.11598305, 49.00000000",,
44,,Add,Beam,"-48.30421624, 39.11598305, 49.00000000","-39.11598305, -48.30421624, 49.00000000",,
45,,Add,Column,"-39.11598305, -48.30421624, 49.00000000","-37.51287245, -48.36130376, 59.00000000",,
46,,Add,Column,"48.30421624, -39.11598305, 49.00000000","48.36130376, -37.51287245, 59.00000000",,
47,,Add,Column,"39.11598305, 48.30421624, 49.00000000","37.51287245, 48.36130376, 59.00000000",,
48,,Add,Column,"-48.30421624, 39.11598305, 49.00000000","-48.36130376, 37.51287245, 59.00000000",,
49,,Add,Beam,"-37.51287245, -48.36130376, 59.00000000","48.36130376, -37.51287245, 59.00000000",,
50,,Add,Beam,"48.36130376, -37.51287245, 59.00000000","37.51287245, 48.36130376, 59.00000000",,
51,,Add,Beam,"37.51287245, 48.36130376, 59.00000000","-48.36130376, 37.51287245, 59.00000000",,
52,,Add,Beam,"-48.36130376, 37.51287245, 59.00000000","-37.51287245, -48.36130376, 59.00000000",,
53,,Add,Column,"-37.51287245, -48.36130376, 59.00000000","-35.92659432, -48.37520029, 69.00000000",,
54,,Add,Column,"48.36130376, -37.51287245, 59.00000000","48.37520029, -35.92659432, 69.00000000",,
55,,Add,Column,"37.51287245, 48.36130376, 59.00000000","35.92659432, 48.37520029, 69.00000000",,
56,,Add,Column,"-48.36130376, 37.51287245, 59.00000000","-48.37520029, 35.92659432, 69.00000000",,
57,,Add,Beam,"-35.92659432, -48.37520029, 69.00000000","48.37520029, -35.92659432, 69.00000000",,
58,,Add,Beam,"48.37520029, -35.92659432, 69.00000000","35.92659432, 48.37520029, 69.00000000",,
59,,Add,Beam,"35.92659432, 48.37520029, 69.00000000","-48.37520029, 35.92659432, 69.00000000",,
60,,Add,Beam,"-48.37520029, 35.92659432, 69.00000000","-35.92659432, -48.37520029, 69.00000000",,
61,,Add,Column,"-35.92659432, -48.37520029, 69.00000000","-34.35848321, -48.34708259, 79.00000000",,
62,,Add,Column,"48.37520029, -35.92659432, 69.00000000","48.34708259, -34.35848321, 79.00000000",,
63,,Add,Column,"35.92659432, 48.37520029, 69.00000000","34.35848321, 48.34708259, 79.00000000",,
64,,Add,Column,"-48.37520029, 35.92659432, 69.00000000","-48.34708259, 34.35848321, 79.00000000",,
65,,Add,Beam,"-34.35848321, -48.34708259, 79.00000000","48.34708259, -34.35848321, 79.00000000",,
66,,Add,Beam,"48.34708259, -34.35848321, 79.00000000","34.35848321, 48.34708259, 79.00000000",,
67,,Add,Beam,"34.35848321, 48.34708259, 79.00000000","-48.34708259, 34.35848321, 79.00000000",,
68,,Add,Beam,"-48.34708259, 34.35848321, 79.00000000","-34.35848321, -48.34708259, 79.00000000",,
69,,Add,Column,"-34.35848321, -48.34708259, 79.00000000","-32.80981136, -48.27817133, 89.00000000",,
70,,Add,Column,"48.34708259, -34.35848321, 79.00000000","48.27817133, -32.80981136, 89.00000000",,
71,,Add,Column,"34.35848321, 48.34708259, 79.00000000","32.80981136, 48.27817133, 89.00000000",,
72,,Add,Column,"-48.34708259, 34.35848321, 79.00000000","-48.27817133, 32.80981136, 89.00000000",,
73,,Add,Beam,"-32.80981136, -48.27817133, 89.00000000","48.27817133, -32.80981136, 89.00000000",,
74,,Add,Beam,"48.27817133, -32.80981136, 89.00000000","32.80981136, 48.27817133, 89.00000000",,
75,,Add,Beam,"32.80981136, 48.27817133, 89.00000000","-48.27817133, 32.80981136, 89.00000000",,
76,,Add,Beam,"-48.27817133, 32.80981136, 89.00000000","-32.80981136, -48.27817133, 89.00000000",,
77,,Add,Column,"-32.80981136, -48.27817133, 89.00000000","-31.28178700, -48.16972781, 99.00000000",,
78,,Add,Column,"48.27817133, -32.80981136, 89.00000000","48.16972781, -31.28178700, 99.00000000",,
79,,Add,Column,"32.80981136, 48.27817133, 89.00000000","31.28178700, 48.16972781, 99.00000000",,
80,,Add,Column,"-48.27817133, 32.80981136, 89.00000000","-48.16972781, 31.28178700, 99.00000000",,
81,,Add,Beam,"-31.28178700, -48.16972781, 99.00000000","48.16972781, -31.28178700, 99.00000000",,
82,,Add,Beam,"48.16972781, -31.28178700, 99.00000000","31.28178700, 48.16972781, 99.00000000",,
83,,Add,Beam,"31.28178700, 48.16972781, 99.00000000","-48.16972781, 31.28178700, 99.00000000",,
84,,Add,Beam,"-48.16972781, 31.28178700, 99.00000000","-31.28178700, -48.16972781, 99.00000000",,
85,,Add,Column,"-31.28178700, -48.16972781, 99.00000000","-29.77555290, -48.02305062, 109.00000000",,
86,,Add,Column,"48.16972781, -31.28178700, 99.00000000","48.02305062, -29.77555290, 109.00000000",,
87,,Add,Column,"31.28178700, 48.16972781, 99.00000000","29.77555290, 48.02305062, 109.00000000",,
88,,Add,Column,"-48.16972781, 31.28178700, 99.00000000","-48.02305062, 29.77555290, 109.00000000",,
89,,Add,Beam,"-29.77555290, -48.02305062, 109.00000000","48.02305062, -29.77555290, 109.00000000",,
90,,Add,Beam,"48.02305062, -29.77555290, 109.00000000","29.77555290, 48.02305062, 109.00000000",,
91,,Add,Beam,"29.77555290, 48.02305062, 109.00000000","-48.02305062, 29.77555290, 109.00000000",,
92,,Add,Beam,"-48.02305062, 29.77555290, 109.00000000","-29.77555290, -48.02305062, 109.00000000",,
93,,Add,Column,"-29.77555290, -48.02305062, 109.00000000","-28.29218498, -47.83947218, 119.00000000",,
94,,Add,Column,"48.02305062, -29.77555290, 109.00000000","47.83947218, -28.29218498, 119.00000000",,
95,,Add,Column,"29.77555290, 48.02305062, 109.00000000","28.29218498, 47.83947218, 119.00000000",,
96,,Add,Column,"-48.02305062, 29.77555290, 109.00000000","-47.83947218, 28.29218498, 119.00000000",,
97,,Add,Beam,"-28.29218498, -47.83947218, 119.00000000","47.83947218, -28.29218498, 119.00000000",,
98,,Add,Beam,"47.83947218, -28.29218498, 119.00000000","28.29218498, 47.83947218, 119.00000000",,
99,,Add,Beam,"28.29218498, 47.83947218, 119.00000000","-47.83947218, 28.29218498, 119.00000000",,
100,,Add,Beam,"-47.83947218, 28.29218498, 119.00000000","-28.29218498, -47.83947218, 119.00000000",,
101,,Add,Column,"-28.29218498, -47.83947218, 119.00000000","-26.83269118, -47.62035526, 129.00000000",,
102,,Add,Column,"47.83947218, -28.29218498, 119.00000000","47.62035526, -26.83269118, 129.00000000",,
103,,Add,Column,"28.29218498, 47.83947218, 119.00000000","26.83269118, 47.62035526, 129.00000000",,
104,,Add,Column,"-47.83947218, 28.29218498, 119.00000000","-47.62035526, 26.83269118, 129.00000000",,
105,,Add,Beam,"-26.83269118, -47.62035526, 129.00000000","47.62035526, -26.83269118, 129.00000000",,
106,,Add,Beam,"47.62035526, -26.83269118, 129.00000000","26.83269118, 47.62035526, 129.00000000",,
107,,Add,Beam,"26.83269118, 47.62035526, 129.00000000","-47.62035526, 26.83269118, 129.00000000",,
108,,Add,Beam,"-47.62035526, 26.83269118, 129.00000000","-26.83269118, -47.62035526, 129.00000000",,
109,,Add,Column,"-26.83269118, -47.62035526, 129.00000000","-25.39801054, -47.36708949, 139.00000000",,
110,,Add,Column,"47.62035526, -26.83269118, 129.00000000","47.36708949, -25.39801054, 139.00000000",,
111,,Add,Column,"26.83269118, 47.62035526, 129.00000000","25.39801054, 47.36708949, 139.00000000",,
