RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,WallHeight,9.00000000,,,
1,,Add,Wall,"-46.97316987, -48.98316863, 0.00000000","48.98316863, -46.97316987, 0.00000000",,
2,,Add,Wall,"48.98316863, -46.97316987, 0.00000000","46.97316987, 48.98316863, 0.00000000",,
3,,Add,Wall,"46.97316987, 48.98316863, 0.00000000","-48.98316863, 46.97316987, 0.00000000",,
4,,Add,Wall,"-48.98316863, 46.97316987, 0.00000000","-46.97316987, -48.98316863, 0.00000000",,
5,,Add,Wall,"-45.28846306, -49.25083358, 10.00000000","49.25083358, -45.28846306, 10.00000000",,
6,,Add,Wall,"49.25083358, -45.28846306, 10.00000000","45.28846306, 49.25083358, 10.00000000",,
7,,Add,Wall,"45.28846306, 49.25083358, 10.00000000","-49.25083358, 45.28846306, 10.00000000",,
8,,Add,Wall,"-49.25083358, 45.28846306, 10.00000000","-45.28846306, -49.25083358, 10.00000000",,
9,,Add,Wall,"-43.61410717, -49.47049388, 20.00000000","49.47049388, -43.61410717, 20.00000000",,
10,,Add,Wall,"49.47049388, -43.61410717, 20.00000000","43.61410717, 49.47049388, 20.00000000",,
11,,Add,Wall,"43.61410717, 49.47049388, 20.00000000","-49.47049388, 43.61410717, 20.00000000",,
12,,Add,Wall,"-49.47049388, 43.61410717, 20.00000000","-43.61410717, -49.47049388, 20.00000000",,
13,,Add,Wall,"-41.95167865, -49.64310777, 30.00000000","49.64310777, -41.95167865, 30.00000000",,
14,,Add,Wall,"49.64310777, -41.95167865, 30.00000000","41.95167865, 49.64310777, 30.00000000",,
15,,Add,Wall,"41.95167865, 49.64310777, 30.00000000","-49.64310777, 41.95167865, 30.00000000",,
16,,Add,Wall,"-49.64310777, 41.95167865, 30.00000000","-41.95167865, -49.64310777, 30.00000000",,
17,,Add,Wall,"-40.30270029, -49.76968999, 40.00000000","49.76968999, -40.30270029, 40.00000000",,
18,,Add,Wall,"49.76968999, -40.30270029, 40.00000000","40.30270029, 49.76968999, 40.00000000",,
19,,Add,Wall,"40.30270029, 49.76968999, 40.00000000","-49.76968999, 40.30270029, 40.00000000",,
20,,Add,Wall,"-49.76968999, 40.30270029, 40.00000000","-40.30270029, -49.76968999, 40.00000000",,
21,,Add,Wall,"-38.66863886, -49.85130883, 50.00000000","49.85130883, -38.66863886, 50.00000000",,
