RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Draw,CurveArray,,,,
0.1,,Use,Points,"8.36706928, 74.33682097, 0.00000000","8.47318453, 76.32485322, 0.00000000","9.68564958, 81.65646939, 0.00000000","20.98415535, 84.20570881, 0.00000000"
0.2,,Use,Points,"24.81879615, 73.89114050, 0.00000000","34.79677258, 72.90385700, 0.00000000","40.27822744, 82.73724124, 0.00000000","52.53766546, 61.34975980, 0.00000000"
0.3,,Use,Points,"33.13873417, 63.47303049, 0.00000000","26.54719820, 63.92296071, 0.00000000",,
0.4,,Draw,NurbSpline,,,,
0.5,,Use,Points,"26.54719820, 63.92296071, 0.00000000","26.59889761, 66.41998523, 0.00000000","25.43869194, 72.35661086, 0.00000000","16.94454940, 76.29090825, 0.00000000"
0.6,,Use,Points,"11.00893051, 75.39545907, 0.00000000","8.36706928, 74.33682097, 0.00000000",,
0.7,,Draw,NurbSpline,,,,
0.8,2472,Add,Floor,,,,
1.0,,Draw,CurveArray,,,,
1.1,,Use,Points,"9.56487677, 74.33682097, 17.16857403","9.67099202, 76.32485322, 17.16857403","10.88345707, 81.65646939, 17.16857403","22.18196284, 84.20570881, 17.16857403"
1.2,,Use,Points,"26.01660364, 73.89114050, 17.16857403","35.99458007, 72.90385700, 17.16857403","41.47603493, 82.73724124, 17.16857403","53.73547295, 61.34975980, 17.16857403"
1.3,,Use,Points,"32.90212641, 60.96888185, 17.16857403","27.74500569, 63.92296071, 17.16857403",,
1.4,,Draw,NurbSpline,,,,
1.5,,Draw,Line,"27.74500569, 63.92296071, 17.16857403","9.56487677, 74.33682097, 17.16857403",,
1.6,2478,Add,Floor,,,,
