RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,FamilyExtrusionHeight,25.00000000,,,
1.0,,Draw,CurveArray,,,,
1.1,,Draw,Line,"16.00000000, 21.00000000, 0.00000000","34.00000000, 21.00000000, 0.00000000",,
1.2,,Draw,Line,"34.00000000, 21.00000000, 0.00000000","34.00000000, 39.00000000, 0.00000000",,
1.3,,Draw,Line,"34.00000000, 39.00000000, 0.00000000","16.00000000, 39.00000000, 0.00000000",,
1.4,,Draw,Line,"16.00000000, 39.00000000, 0.00000000","16.00000000, 21.00000000, 0.00000000",,
1.5,338970,Add,FamilyExtrusion,Generic Model,"25.00000000, 0.00000000, 0.00000000",,
2,,Modify,ParameterSet,Mark,ID: 25,,
3,,Set,FamilyExtrusionHeight,35.00000000,,,
4.0,,Draw,CurveArray,,,,
4.1,,Draw,Line,"26.00000000, 21.00000000, 0.00000000","44.00000000, 21.00000000, 0.00000000",,
4.2,,Draw,Line,"44.00000000, 21.00000000, 0.00000000","44.00000000, 39.00000000, 0.00000000",,
4.3,,Draw,Line,"44.00000000, 39.00000000, 0.00000000","26.00000000, 39.00000000, 0.00000000",,
4.4,,Draw,Line,"26.00000000, 39.00000000, 0.00000000","26.00000000, 21.00000000, 0.00000000",,
4.5,339730,Add,FamilyExtrusion,Generic Model,"35.00000000, 0.00000000, 0.00000000",,
5,,Modify,ParameterSet,Mark,ID: 35,,
6,,Set,FamilyExtrusionHeight,45.00000000,,,
7.0,,Draw,CurveArray,,,,
7.1,,Draw,Line,"36.00000000, 21.00000000, 0.00000000","54.00000000, 21.00000000, 0.00000000",,
7.2,,Draw,Line,"54.00000000, 21.00000000, 0.00000000","54.00000000, 39.00000000, 0.00000000",,
7.3,,Draw,Line,"54.00000000, 39.00000000, 0.00000000","36.00000000, 39.00000000, 0.00000000",,
7.4,,Draw,Line,"36.00000000, 39.00000000, 0.00000000","36.00000000, 21.00000000, 0.00000000",,
7.5,340490,Add,FamilyExtrusion,Generic Model,"45.00000000, 0.00000000, 0.00000000",,
8,,Modify,ParameterSet,Mark,ID: 45,,
9,,Set,FamilyExtrusionHeight,55.00000000,,,
10.0,,Draw,CurveArray,,,,
10.1,,Draw,Line,"46.00000000, 21.00000000, 0.00000000","64.00000000, 21.00000000, 0.00000000",,
10.2,,Draw,Line,"64.00000000, 21.00000000, 0.00000000","64.00000000, 39.00000000, 0.00000000",,
10.3,,Draw,Line,"64.00000000, 39.00000000, 0.00000000","46.00000000, 39.00000000, 0.00000000",,
10.4,,Draw,Line,"46.00000000, 39.00000000, 0.00000000","46.00000000, 21.00000000, 0.00000000",,
10.5,341250,Add,FamilyExtrusion,Generic Model,"55.00000000, 0.00000000, 0.00000000",,
11,,Modify,ParameterSet,Mark,ID: 55,,
12,,Set,FamilyExtrusionHeight,65.00000000,,,
13.0,,Draw,CurveArray,,,,
13.1,,Draw,Line,"56.00000000, 21.00000000, 0.00000000","74.00000000, 21.00000000, 0.00000000",,
13.2,,Draw,Line,"74.00000000, 21.00000000, 0.00000000","74.00000000, 39.00000000, 0.00000000",,
13.3,,Draw,Line,"74.00000000, 39.00000000, 0.00000000","56.00000000, 39.00000000, 0.00000000",,
13.4,,Draw,Line,"56.00000000, 39.00000000, 0.00000000","56.00000000, 21.00000000, 0.00000000",,
13.5,342010,Add,FamilyExtrusion,Generic Model,"65.00000000, 0.00000000, 0.00000000",,
14,,Modify,ParameterSet,Mark,ID: 65,,
15,,Set,FamilyExtrusionHeight,75.00000000,,,
16.0,,Draw,CurveArray,,,,
16.1,,Draw,Line,"66.00000000, 21.00000000, 0.00000000","84.00000000, 21.00000000, 0.00000000",,
16.2,,Draw,Line,"84.00000000, 21.00000000, 0.00000000","84.00000000, 39.00000000, 0.00000000",,
16.3,,Draw,Line,"84.00000000, 39.00000000, 0.00000000","66.00000000, 39.00000000, 0.00000000",,
16.4,,Draw,Line,"66.00000000, 39.00000000, 0.00000000","66.00000000, 21.00000000, 0.00000000",,
16.5,342770,Add,FamilyExtrusion,Generic Model,"75.00000000, 0.00000000, 0.00000000",,
17,,Modify,ParameterSet,Mark,ID: 75,,
18,,Set,FamilyExtrusionHeight,85.00000000,,,
19.0,,Draw,CurveArray,,,,
19.1,,Draw,Line,"76.00000000, 21.00000000, 0.00000000","94.00000000, 21.00000000, 0.00000000",,
19.2,,Draw,Line,"94.00000000, 21.00000000, 0.00000000","94.00000000, 39.00000000, 0.00000000",,
19.3,,Draw,Line,"94.00000000, 39.00000000, 0.00000000","76.00000000, 39.00000000, 0.00000000",,
19.4,,Draw,Line,"76.00000000, 39.00000000, 0.00000000","76.00000000, 21.00000000, 0.00000000",,
19.5,343530,Add,FamilyExtrusion,Generic Model,"85.00000000, 0.00000000, 0.00000000",,
20,,Modify,ParameterSet,Mark,ID: 85,,
21,,Set,FamilyExtrusionHeight,95.00000000,,,
22.0,,Draw,CurveArray,,,,
22.1,,Draw,Line,"86.00000000, 21.00000000, 0.00000000","104.00000000, 21.00000000, 0.00000000",,
22.2,,Draw,Line,"104.00000000, 21.00000000, 0.00000000","104.00000000, 39.00000000, 0.00000000",,
22.3,,Draw,Line,"104.00000000, 39.00000000, 0.00000000","86.00000000, 39.00000000, 0.00000000",,
22.4,,Draw,Line,"86.00000000, 39.00000000, 0.00000000","86.00000000, 21.00000000, 0.00000000",,
22.5,344290,Add,FamilyExtrusion,Generic Model,"95.00000000, 0.00000000, 0.00000000",,
23,,Modify,ParameterSet,Mark,ID: 95,,
