RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
1,,Set,WallHeight,20,,,
2,,Add,Grid,"0, 0, 0","1, 0, 0",,
3,,Add,Level,1,,,
4,,Add,DetailLine,"10, 0, 0","20, 0, 0",,
5,,Add,DetailArc,"20, 0, 0","30, 0, 0","25, 5, 0",
6,,Add,DetailEllipse,"50, 0, 0","60, 0, 0",10,Full
7,,Add,DetailNurbSpline,"70, 0, 0","80, 10, 0","90, -10, 0","100, 0, 0"
8,,Add,ModelLine,"110, 0, 0","120, 0, 0",,
9,,Add,ModelArc,"120, 0, 0","130, 0, 0","125 ,5, 0",
10,,Add,ModelEllipse,"150, 0, 0","160, 0, 0",10,Full
11,,Add,ModelNurbSpline,"170, 0, 0","180, 10, 0","190, -10, 0","200, 0, 0"
12,,Add,TopographySurface,"200, 0, 0","210, 0, 5","200, 10, 10","210, 10, 0"
13,,Add,Wall,"220, 0, 0","230, 0, 0",,
14,,Add,Floor,"240, 0, 0","250, 0, 0","250, 10, 0","240, 10, 0"
15,,Add,FamilyInstance,"260, 0, 0",,,
16,,Add,Column,"270, 0, 0",,,
17,,Add,Beam,"280, 0, 0",,,
18,,Add,AdaptiveComponent,"290, 0, 0","290, 10, 0","290, 10, 10",
19,,Add,AreaBoundaryLine,"300, 0, 0","310, 0, 0",,
20,,Add,RoomSeparationLine,"320, 0, 0","330, 0, 0",,
21,,Add,Area,"340, 0, 0",,,
22,,Add,Room,"350, 0, 0",,,
23,,Draw,CurveArray,,,,
24,,Draw,Line,"40, 100, 0","40, 200, 0",,
25,,Draw,Arc,"40, 200, 0","140, 200, 0","90, 212.63, 0",
26,,Draw,Line,"140, 200, 0","140, 100, 0",,
27,,Draw,Line,"140, 100, 0","40, 100, 0",,
28,,Draw,CurveArray,,,,
29,,Draw,Line,"90, 190, 0","90, 170, 0",,
30,,Draw,Line,"90, 170, 0","112, 170, 0",,
31,,Draw,Line,"112, 170, 0","112, 190, 0",,
32,,Draw,Line,"112, 190, 0","90, 190, 0",,
33,,Draw,CurveArray,,,,
34,,Draw,Arc,"71, 120, 0","71, 136, 0","79, 128, 0",
35,,Draw,Arc,"71, 136, 0","71, 120, 0","63, 128, 0",
36,,Add,Floor,,,,
37,,Draw,CurveArray,,,,
38,,Draw,Line,"0.00, 300, 0.00","50.50, 300, 0.00",,
39,,Draw,Line,"50.50, 300, 0.00","50.50, 300, 10.00",,
40,,Draw,Line,"50.50, 300, 10.00","36.50, 300, 10.00",,
41,,Draw,Arc,"36.50, 300, 10.00","13.00, 300, 10.00","24.75, 300, 21.75",
42,,Draw,Line,"13.00, 300, 10.00","0.00, 300, 10.00",,
43,,Draw,Line,"0.00, 300, 10.00","0.00, 300, 0.00",,
44,,Draw,CurveArray,,,,
45,,Draw,Line,"11.88, 300, 6.75","11.88, 300, 2.75",,
46,,Draw,Line,"11.88, 300, 2.75","3.38, 300, 2.75",,
47,,Draw,Line,"3.38, 300, 2.75","3.38, 300, 6.75",,
48,,Draw,Line,"3.38, 300, 6.75","11.88, 300, 6.75",,
49,,Draw,CurveArray,,,,
50,,Draw,Arc,"25.50, 300, 6.75","18.50, 300, 6.75","22.00, 300, 3.25",
51,,Draw,Arc,"18.50, 300, 6.75","25.50, 300, 6.75","22.00, 300, 10.25",
52,,Add,Wall,,,,
53,,Use,Points,"0, 400,  0","  10, 400,  2","  20, 400,  3","30, 400, 2"
54,,Use,Points,"0, 410,  1","  10, 410,  3","  20, 410,  5","30, 410,  1"
