RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Use,Points,"-80.00000000, -80.00000000, -75.53380318","-60.00000000, -80.00000000, -77.98465844","-40.00000000, -80.00000000, -72.23349657","-20.00000000, -80.00000000, -66.00170559"
0.1,,Use,Points,"0.00000000, -80.00000000, -68.00000000","20.00000000, -80.00000000, -69.99829441","40.00000000, -80.00000000, -63.76650343","60.00000000, -80.00000000, -58.01534156"
0.2,,Use,Points,"80.00000000, -80.00000000, -60.46619682","100.00000000, -80.00000000, -61.95743299","120.00000000, -80.00000000, -55.30269288","140.00000000, -80.00000000, -50.08328908"
0.3,,Use,Points,"160.00000000, -80.00000000, -52.92603930","180.00000000, -80.00000000, -53.86263111","200.00000000, -80.00000000, -46.84838673","220.00000000, -80.00000000, -42.20462201"
0.4,,Use,Points,"240.00000000, -80.00000000, -45.37325972","260.00000000, -80.00000000, -45.71518094","280.00000000, -80.00000000, -38.40977727","300.00000000, -80.00000000, -34.37768655"
0.5,,Use,Points,"-80.00000000, -60.00000000, -77.98465844","-60.00000000, -60.00000000, -73.77008177","-40.00000000, -60.00000000, -67.29814728","-20.00000000, -60.00000000, -64.27184366"
0.6,,Use,Points,"0.00000000, -60.00000000, -66.00000000","20.00000000, -60.00000000, -67.72815634","40.00000000, -60.00000000, -64.70185272","60.00000000, -60.00000000, -58.22991823"
0.7,,Use,Points,"80.00000000, -60.00000000, -54.01534156","100.00000000, -60.00000000, -54.88233801","120.00000000, -60.00000000, -57.17467146","140.00000000, -60.00000000, -55.41839563"
0.8,,Use,Points,"160.00000000, -60.00000000, -49.30269288","180.00000000, -60.00000000, -44.07625508","200.00000000, -60.00000000, -43.85370833","220.00000000, -60.00000000, -46.36829406"
0.9,,Use,Points,"240.00000000, -60.00000000, -45.86263111","260.00000000, -60.00000000, -40.43101461","280.00000000, -60.00000000, -34.44973187","300.00000000, -60.00000000, -32.99605101"
0.10,,Use,Points,"-80.00000000, -40.00000000, -72.23349657","-60.00000000, -40.00000000, -67.29814728","-40.00000000, -40.00000000, -64.00170559","-20.00000000, -40.00000000, -63.13057564"
0.11,,Use,Points,"0.00000000, -40.00000000, -64.00000000","20.00000000, -40.00000000, -64.86942436","40.00000000, -40.00000000, -63.99829441","60.00000000, -40.00000000, -60.70185272"
0.12,,Use,Points,"80.00000000, -40.00000000, -55.76650343","100.00000000, -40.00000000, -50.97279002","120.00000000, -40.00000000, -48.01534156","140.00000000, -40.00000000, -47.47493345"
0.13,,Use,Points,"160.00000000, -40.00000000, -48.46619682","180.00000000, -40.00000000, -49.17467146","200.00000000, -40.00000000, -47.95743299","220.00000000, -40.00000000, -44.33966877"
0.14,,Use,Points,"240.00000000, -40.00000000, -39.30269288","260.00000000, -40.00000000, -34.68869412","280.00000000, -40.00000000, -32.08328908","300.00000000, -40.00000000, -31.85370833"
0.15,,Use,Points,"-80.00000000, -20.00000000, -66.00170559","-60.00000000, -20.00000000, -64.27184366","-40.00000000, -20.00000000, -63.13057564","-20.00000000, -20.00000000, -62.44232663"
0.16,,Use,Points,"0.00000000, -20.00000000, -62.00000000","20.00000000, -20.00000000, -61.55767337","40.00000000, -20.00000000, -60.86942436","60.00000000, -20.00000000, -59.72815634"
0.17,,Use,Points,"80.00000000, -20.00000000, -57.99829441","100.00000000, -20.00000000, -55.63718971","120.00000000, -20.00000000, -52.70185272","140.00000000, -20.00000000, -49.33995260"
0.18,,Use,Points,"160.00000000, -20.00000000, -45.76650343","180.00000000, -20.00000000, -42.22991823","200.00000000, -20.00000000, -38.97279002","220.00000000, -20.00000000, -36.19359170"
0.19,,Use,Points,"240.00000000, -20.00000000, -34.01534156","260.00000000, -20.00000000, -32.46618138","280.00000000, -20.00000000, -31.47493345","300.00000000, -20.00000000, -30.88233801"
0.20,,Use,Points,"-80.00000000, 0.00000000, -68.00000000","-60.00000000, 0.00000000, -66.00000000","-40.00000000, 0.00000000, -64.00000000","-20.00000000, 0.00000000, -62.00000000"
0.21,,Use,Points,"0.00000000, 0.00000000, -60.00000000","20.00000000, 0.00000000, -58.00000000","40.00000000, 0.00000000, -56.00000000","60.00000000, 0.00000000, -54.00000000"
0.22,,Use,Points,"80.00000000, 0.00000000, -52.00000000","100.00000000, 0.00000000, -50.00000000","120.00000000, 0.00000000, -48.00000000","140.00000000, 0.00000000, -46.00000000"
0.23,,Use,Points,"160.00000000, 0.00000000, -44.00000000","180.00000000, 0.00000000, -42.00000000","200.00000000, 0.00000000, -40.00000000","220.00000000, 0.00000000, -38.00000000"
0.24,,Use,Points,"240.00000000, 0.00000000, -36.00000000","260.00000000, 0.00000000, -34.00000000","280.00000000, 0.00000000, -32.00000000","300.00000000, 0.00000000, -30.00000000"
0.25,,Use,Points,"-80.00000000, 20.00000000, -69.99829441","-60.00000000, 20.00000000, -67.72815634","-40.00000000, 20.00000000, -64.86942436","-20.00000000, 20.00000000, -61.55767337"
0.26,,Use,Points,"0.00000000, 20.00000000, -58.00000000","20.00000000, 20.00000000, -54.44232663","40.00000000, 20.00000000, -51.13057564","60.00000000, 20.00000000, -48.27184366"
0.27,,Use,Points,"80.00000000, 20.00000000, -46.00170559","100.00000000, 20.00000000, -44.36281029","120.00000000, 20.00000000, -43.29814728","140.00000000, 20.00000000, -42.66004740"
0.28,,Use,Points,"160.00000000, 20.00000000, -42.23349657","180.00000000, 20.00000000, -41.77008177","200.00000000, 20.00000000, -41.02720998","220.00000000, 20.00000000, -39.80640830"
0.29,,Use,Points,"240.00000000, 20.00000000, -37.98465844","260.00000000, 20.00000000, -35.53381862","280.00000000, 20.00000000, -32.52506655","300.00000000, 20.00000000, -29.11766199"
0.30,,Use,Points,"-80.00000000, 40.00000000, -63.76650343","-60.00000000, 40.00000000, -64.70185272","-40.00000000, 40.00000000, -63.99829441","-20.00000000, 40.00000000, -60.86942436"
0.31,,Use,Points,"0.00000000, 40.00000000, -56.00000000","20.00000000, 40.00000000, -51.13057564","40.00000000, 40.00000000, -48.00170559","60.00000000, 40.00000000, -47.29814728"
0.32,,Use,Points,"80.00000000, 40.00000000, -48.23349657","100.00000000, 40.00000000, -49.02720998","120.00000000, 40.00000000, -47.98465844","140.00000000, 40.00000000, -44.52506655"
0.33,,Use,Points,"160.00000000, 40.00000000, -39.53380318","180.00000000, 40.00000000, -34.82532854","200.00000000, 40.00000000, -32.04256701","220.00000000, 40.00000000, -31.66033123"
0.34,,Use,Points,"240.00000000, 40.00000000, -32.69730712","260.00000000, 40.00000000, -33.31130588","280.00000000, 40.00000000, -31.91671092","300.00000000, 40.00000000, -28.14629167"
0.35,,Use,Points,"-80.00000000, 60.00000000, -58.01534156","-60.00000000, 60.00000000, -58.22991823","-40.00000000, 60.00000000, -60.70185272","-20.00000000, 60.00000000, -59.72815634"
