RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0.0,,Draw,CurveArray,,,,
0.1,,Use,Points,"1.10000000, 20.60000000, 0.00000000","5.93527203, 22.07902438, 0.00000000","17.60632427, 24.27895456, 0.00000000","26.94484028, 10.65213876, 0.00000000"
0.2,,Use,Points,"29.75214683, -5.35844326, 0.00000000","19.10955328, -18.04198107, 0.00000000","2.66700992, -17.26695008, 0.00000000","-11.30197047, -10.66587638, 0.00000000"
0.3,,Use,Points,"-19.66559871, -4.88719403, 0.00000000","-23.70000000, -1.80000000, 0.00000000",,
0.4,,Draw,NurbSpline,,,,
0.5,,Use,Points,"-23.70000000, -1.80000000, 0.00000000","-22.27760480, -1.02340492, 0.00000000","-19.46341586, 0.60226159, 0.00000000","-15.41831504, 3.24562116, 0.00000000"
0.6,,Use,Points,"-11.56645761, 6.11957595, 0.00000000","-7.89876269, 9.28864069, 0.00000000","-4.50636918, 12.75261802, 0.00000000","-1.48895988, 16.46478803, 0.00000000"
0.7,,Use,Points,"0.29467642, 19.19612512, 0.00000000","1.10000000, 20.60000000, 0.00000000",,
0.8,,Draw,NurbSpline,,,,
0.9,338297,Add,Floor,,,,
1.0,,Draw,CurveArray,,,,
1.1,,Use,Points,"0.30000000, 21.64000000, 9.24000000","5.11978303, 22.74958647, 9.24000000","16.43365760, 24.07265604, 9.24000000","25.87148901, 11.05512649, 9.24000000"
1.2,,Use,Points,"29.21314171, -4.81286930, 9.24000000","18.53213057, -17.25831741, 9.24000000","2.30918579, -16.54126846, 9.24000000","-11.52946460, -10.11710730, 9.24000000"
1.3,,Use,Points,"-19.57562700, -4.06665354, 9.24000000","-23.36000000, -0.82000000, 9.24000000",,
1.4,,Draw,NurbSpline,,,,
1.5,,Use,Points,"-23.36000000, -0.82000000, 9.24000000","-21.94529734, -0.08854679, 9.24000000","-19.14936266, 1.46016773, 9.24000000","-15.15390851, 4.03997198, 9.24000000"
1.6,,Use,Points,"-11.39009054, 6.90772543, 9.24000000","-7.86987256, 10.12759661, 9.24000000","-4.70434130, 13.66077229, 9.24000000","-1.96274188, 17.46240628, 9.24000000"
1.7,,Use,Points,"-0.39705609, 20.22525827, 9.24000000","0.30000000, 21.64000000, 9.24000000",,
1.8,,Draw,NurbSpline,,,,
1.9,338303,Add,Floor,,,,
2.0,,Draw,CurveArray,,,,
