RowId,ElementId,Action,Object,Value01,Value02,Value03,Value04
0,,Set,ColumnHeight,9.24000000,,,
1,5452,Add,Column,"2.23743547, 16.75336754, 0.00000000",,,
2,5453,Add,Column,"13.31980872, 17.76893609, 0.00000000",,,
3,5454,Add,Column,"21.23751892, 10.26118036, 0.00000000",,,
4,5455,Add,Column,"23.82998577, -0.57974519, 0.00000000",,,
5,5456,Add,Column,"18.99236818, -10.39891804, 0.00000000",,,
6,5457,Add,Column,"8.46715919, -13.48864577, 0.00000000",,,
7,5458,Add,Column,"-2.36348482, -10.62224656, 0.00000000",,,
8,5459,Add,Column,"-12.15337488, -5.08178026, 0.00000000",,,
9,5460,Add,Column,"-13.67513037, 1.13144226, 0.00000000",,,
10,5461,Add,Column,"-4.75425853, 7.97453318, 0.00000000",,,
11,5462,Add,Column,"1.49212127, 17.69738268, 9.24000000",,,
12,5464,Add,Column,"12.46047917, 17.98080671, 9.24000000",,,
13,5465,Add,Column,"20.31128312, 10.55697328, 9.24000000",,,
14,5466,Add,Column,"23.15426968, -0.04904858, 9.24000000",,,
15,5467,Add,Column,"18.45253664, -9.72432281, 9.24000000",,,
16,5468,Add,Column,"8.08043561, -12.78874023, 9.24000000",,,
17,5469,Add,Column,"-2.60577410, -10.03394086, 9.24000000",,,
18,5470,Add,Column,"-12.16176378, -4.43674771, 9.24000000",,,
19,5471,Add,Column,"-13.62644941, 1.87066204, 9.24000000",,,
20,5472,Add,Column,"-4.92122192, 8.70188176, 9.24000000",,,
21,5473,Add,Column,"0.74752965, 18.64001826, 18.48000000",,,
22,5475,Add,Column,"11.56817582, 18.19559459, 18.48000000",,,
23,5476,Add,Column,"19.37449780, 10.87475200, 18.48000000",,,
24,5477,Add,Column,"22.47889532, 0.50292709, 18.48000000",,,
25,5478,Add,Column,"17.92274623, -9.04353096, 18.48000000",,,
26,5479,Add,Column,"7.69456547, -12.08951795, 18.48000000",,,
27,5480,Add,Column,"-2.85802728, -9.44204930, 18.48000000",,,
28,5481,Add,Column,"-12.18958451, -3.78792104, 18.48000000",,,
29,5482,Add,Column,"-13.56526489, 2.61823588, 18.48000000",,,
30,5483,Add,Column,"-5.06726875, 9.44034286, 18.48000000",,,
31,5484,Add,Column,"0.00372359, 19.58110256, 27.72000000",,,
32,5486,Add,Column,"10.64208275, 18.41820080, 27.72000000",,,
33,5487,Add,Column,"18.42456023, 11.21477609, 27.72000000",,,
34,5488,Add,Column,"21.80201907, 1.07723958, 27.72000000",,,
35,5489,Add,Column,"17.40368744, -8.35641757, 27.72000000",,,
36,5490,Add,Column,"7.30962155, -11.39112834, 27.72000000",,,
37,5491,Add,Column,"-3.12078349, -8.84651607, 27.72000000",,,
38,5492,Add,Column,"-12.23682275, -3.13301403, 27.72000000",,,
39,5493,Add,Column,"-13.49033850, 3.37425096, 27.72000000",,,
40,5494,Add,Column,"-5.19283142, 10.19273087, 27.72000000",,,
41,5495,Add,Column,"-0.73922491, 20.52044073, 36.96000000",,,
42,5497,Add,Column,"9.68213900, 18.65325039, 36.96000000",,,
43,5498,Add,Column,"17.45875888, 11.57669206, 36.96000000",,,
44,5499,Add,Column,"21.12143590, 1.67455108, 36.96000000",,,
45,5500,Add,Column,"16.89591871, -7.66297252, 36.96000000",,,
46,5501,Add,Column,"6.92560362, -10.69374006, 36.96000000",,,
47,5502,Add,Column,"-3.39457766, -8.24732631, 36.96000000",,,
48,5503,Add,Column,"-12.30313002, -2.46969861, 36.96000000",,,
49,5504,Add,Column,"-13.40043900, 4.13862183, 36.96000000",,,
50,5505,Add,Column,"-5.29888610, 10.96186647, 36.96000000",,,
51,5506,Add,Column,"-16.76123322, 3.29781066, 46.20000000",,,
52,5508,Add,Column,"-9.48239268, -4.28139285, 46.20000000",,,
53,5509,Add,Column,"-0.07697906, -8.92386295, 46.20000000",,,
54,5510,Add,Column,"10.35180451, -9.72713388, 46.20000000",,,
55,5511,Add,Column,"18.94012280, -4.12371448, 46.20000000",,,
56,5512,Add,Column,"19.56890298, 6.01231913, 46.20000000",,,
57,5513,Add,Column,"14.06574176, 14.92683660, 46.20000000",,,
58,5514,Add,Column,"5.12585017, 20.28563753, 46.20000000",,,
59,5515,Add,Column,"-2.40888765, 17.74901704, 46.20000000",,,
60,5516,Add,Column,"-7.87104498, 8.84728557, 46.20000000",,,
